Time,12,12.1,12.2,6,6.1,6.2,6.3,3,3.1,3.2,1.5,1.5.2,1.5.1,0.75.2,0.75,0.75.3,0.75.1,0.38.2,0.38,0.38.1,0.38.3,0.19,0.094
53,0.1573507440454777,0.0010167679006419,0.1471370126073741,0.1875515386735285,0.1705673776732045,0.0739250363141111,0.1170774536976917,0.0826208569014475,0.2047688516083587,0.0895933071788111,0.0777029033443615,0.0043653167666234,0.06595410406694,0.2459763132187945,0.0753165849467202,0.0433166431679841,0.0004735752163211,0.1527006589094766,0.075689598592284,0.0749861637668496,0.0004790673661886,0.1334034081695941,0.0003523391223563
56,0.1587237656549372,0.0010269356492073,0.1407241518638422,0.1845340999069238,0.166680126317772,0.0692929985124938,0.1167147567921798,0.0714101265374275,0.1555033253342604,0.1207037671813018,0.0880598977366939,0.0428024220917825,0.0673003013096622,0.098435307748022,0.0828566176265181,0.0431882067517894,0.0005385144427888,0.2111323380132224,0.0678745399175131,0.0615467210441243,0.0003889919662158,0.1147482694861936,0.0002966200209915
59,0.1208562516616255,0.0384349110017892,0.0815704511715308,0.1962620052660043,0.1960514380557996,0.0817119839024309,0.1033487149540371,0.0851115988267794,0.1062377990601621,0.1353662301145617,0.0809728303484554,0.048810425312897,0.0686464985523843,0.2472882194249327,0.0832931836156722,0.0552082021967943,0.0004247381932327,0.1909702887146394,0.0796760552957167,0.0599494297716989,0.000384304156326,0.1260360775969525,0.0003761729732908
61,0.1194571910699365,0.0386736203235678,0.1582673002402297,0.1590260817148972,0.2042217231257936,0.0745807915337123,0.1088709609629703,0.0828674774216966,0.1458695360410857,0.1145223525966913,0.0941309542997364,0.0599843477641435,0.0623643774525587,0.2277258627131356,0.0779745582178217,0.047635421875458,0.0004115315031122,0.1847534268367651,0.07329431804651,0.0575729297938994,0.0049727376875868,0.1302281759667386,0.0002382090572428
64,0.1338388509900276,0.0381552605157047,0.135294000644374,0.1702558729131927,0.1642113391139857,0.0548479504984199,0.1133921685315129,0.0743718352700435,0.1635355431232435,0.1191558929049577,0.0986299396264868,0.073159160461188,0.0680805979310358,0.2081635060013383,0.0627051367455411,0.0445200766624159,0.0003714900117058,0.2148175935049997,0.053410825740727,0.0015073937493213,0.0004795501434861,0.1233298118499565,0.0004119542375236
66,0.1345696856818306,0.0011135257828273,0.1168444216564554,0.1807685753109422,0.1755735712175804,0.0453591841725657,0.123220630858392,0.0765921356894504,0.1710638211393572,0.1186145520450812,0.0908160990937249,0.0624092023121507,0.0646070779172154,0.2598103614485768,0.0802101356629139,0.0503929075508925,0.0003804339973489,0.187604335665686,0.0597733468628532,0.0431891582948328,0.0016169234993431,0.1208216804804701,0.0005856994178044
69,0.1446000988434714,0.0386708753518756,0.1250766131022215,0.1846440619665975,0.07134641700414,0.0473077247930497,0.1201110518844995,0.1092474317579447,0.1642841989981707,0.1113553875569742,0.1145969002486528,0.0740755232274431,0.0659239132682254,0.266505552392178,0.0789722505595952,0.0511186094278059,0.0003386793283404,0.1741689491207828,0.0672915711645698,0.0549976396282581,0.0003849335484195,0.1325768796807165,0.0007594445980853
72,0.1527629216142824,0.0375756763493871,0.1370430700396055,0.1654194788796825,0.1608393730730927,0.0465231728875063,0.1170014729106069,0.0969899082973989,0.1493275626308874,0.1181499134549641,0.0941172854263836,0.0759170544473529,0.0531477438258972,0.2611088419207449,0.0582404407139145,0.0210937606993787,0.0004752965700369,0.1759974161942222,0.0679570406650502,0.0587403960213794,0.0003568216337635,0.130761366123249,0.0002670358872081
74,0.1178364951838915,0.0008011480966026,0.1476108373814482,0.1563152231895291,0.1974640791645703,0.0389428098179553,0.121063628306294,0.0921085195079851,0.1731234037957405,0.1178595933590327,0.1035382626023697,0.0826646506086702,0.0506038324171937,0.2201674050802728,0.0558121937242199,0.0462192747253439,0.0004643479811725,0.191876307767306,0.0681198480112561,0.0710926821005483,0.0004008640599662,0.1220292995599641,0.0005513619500836
77,0.1561168729670493,0.038650731636866,0.1297163523370268,0.1582890439003561,0.1783679340639725,0.0507908385143318,0.1251257837019811,0.0967838839784163,0.1798484203014777,0.1160748462651565,0.0993246196664718,0.0754907807491374,0.062697193000979,0.2123034054739941,0.0575858489231063,0.0454122012802083,0.000434083037999,0.1910614684792382,0.0781702229379264,0.0735141236105098,0.0003755700413038,0.1397103455119719,0.0003725388117235
80,0.1472937938388265,0.001381553338736,0.1268434223681473,0.1804584241909277,0.1594460928391825,0.0457166781766131,0.1291879390976682,0.0936699368960556,0.1691150750102817,0.1046591260301441,0.1174374456248697,0.0715375539379472,0.0587340933770632,0.2071161602160929,0.0349449994571813,0.0424880283239964,0.0004038180948254,0.229728472826777,0.0840137529737642,0.0640216475767961,0.000486377576578,0.1258680347688011,0.0004787870081231
82,0.1558297163101469,,0.1407943530577887,0.1624516175282726,0.1712735966689958,0.0022676011544898,0.1335053494986105,0.0939710398790589,0.1769208307815925,0.1041761796851915,0.1049700252924898,0.0997663950579931,0.0648937104218303,0.121775269178144,0.0392524569028125,0.0387578670268217,0.000518728526194,0.1722428485966662,0.077031853474856,0.071053918504881,0.0004387846502664,0.138456438676426,0.0004191392958917
85,0.1351471487510488,,0.1300715323842369,0.1847893542643773,0.1854683224731084,0.0457357989270209,0.1519129110653185,0.104357839407982,0.0886952195353204,0.1035722540904234,0.1121658978206832,0.102862431680491,0.0525263432569843,0.1363334539925063,0.0348466299841374,0.042247387047352,0.0005065723203763,0.1899268345042078,0.0719309886918986,0.0696493450482447,0.0004381576168306,0.1306837568767599,0.0004269869115692
88,0.1521165612997525,,0.1265157813934912,0.1512103293277726,0.176589339357528,0.0477979743908996,0.1358089714632333,0.0925375185072468,0.0004696082890483,0.1215177810065404,0.1155712137874646,0.0895461263387808,0.0574375698112187,0.1686287323564907,0.0007252941199126,0.0418609476223036,0.0003928875332849,0.1875858360801458,0.0703807465263895,0.0022338031214358,0.0002747973952359,0.1276492034339578,0.0004848869274673
90,0.1352744636713886,,0.1326208747425321,0.1588559541163276,0.188251613547915,0.0460680714876046,0.0034614518639054,0.1015702493817288,0.1349605917004195,0.0003968019725716,0.1041937321006294,0.088320704922599,0.0610772455118554,0.1978331443292225,0.0002797819148258,0.0419679306971587,0.0004250256064864,0.1958912287210121,0.0741323079669521,0.0624355799912306,0.0009943467655682,0.1401730832394015,0.0002452892435347
93,0.1395035601396991,,0.152710038820829,0.1776919267453357,0.1645089803644741,0.0476593777527535,0.0663539291876487,0.0872779545435894,0.1607014687050919,0.0833833102277301,0.0928162504137941,0.0870952835064173,0.0547095438488835,0.2432265396199778,,0.0395575492252013,0.000413878995211,0.1819286894999409,0.0860709559367152,0.0852745318168125,0.0008435629588081,0.1266861624025775,0.0003322938870825
96,0.1247023301543083,,0.1518461469708605,0.1917596370213993,0.1878441786291719,0.0527973989268799,0.1403409597007211,0.0973043734495984,0.1592145535562576,0.0717068947408489,0.0670993863441198,0.0854693176296723,0.0716710964786814,0.2394562297736599,,0.0457505860590713,0.0003448557174218,0.1931775298018491,0.0891720070521277,0.0839089951928205,0.0003242740253966,0.1548486725079468,0.0004279404074487
