Time,20,20.1,20.2,10,10.1,10.2,5,5.1,5.2,2.5.2,2.5,2.5.3,2.5.1,1.25,1.25.2,1.25.1,0.63.1,0.63.3,0.63,0.63.2,0.31.3,0.31.2,0.31.1,0.31,0.16.3,0.16.2,0.16.1,0.16
53,0.0353617045100761,0.1060589586671509,0.0664426158135118,0.1109613115830649,0.0916614758646228,0.0005749849016648,0.0894043123385476,0.1057275792556378,0.0482314496055159,0.1099554546865311,0.1257257719193518,0.0733390403553014,0.0400744819546972,0.1195407119494454,0.0670141794498476,0.0551216336019323,0.0833613556648974,0.0768394966525309,0.0327508363202845,0.00048636568254,0.1170622808710804,0.1111864988514429,0.0700794445086771,0.0536987844777742,0.1000671100344888,0.0765486744702153,0.1010641086343419,0.0377420065586964
56,0.0354846020443192,0.1003234203561418,0.0678761037712512,0.092669378010348,0.092062077695778,0.0004708574174581,0.0895076019819393,0.1182370505156033,0.0515312061438324,0.1475370877971018,0.1574454843485115,0.0709571012408411,0.0421353443777675,0.1199460947704632,0.0697684934267471,0.0631809733788966,0.0911496078657747,0.0795593727664577,0.0348686111805747,0.000545386759848,0.1201714512945459,0.1109676582241544,0.073524420163374,0.0575806855129751,0.1164369629069246,0.0787256560054019,0.0899940850004103,0.0395354639972883
59,0.0346594933914756,0.0936630396955486,0.0667420229803314,0.0931191494847464,0.0833893697062875,0.0006964958583482,0.0963091209425524,0.1152060820724009,0.0559957140516784,0.1340290466465207,0.1520516705465944,0.0582068406344812,0.0421502478551898,0.124845315242002,0.0679322568704279,0.0599091503976635,0.0988676394928537,0.0833393933199205,0.0321454645337424,0.0505614241374865,0.1283524491806164,0.1012815603517022,0.0862271738007575,0.000874803800941,0.1269471244952917,0.0803510806198224,0.0836883525353206,0.0411501898059568
61,0.0362311853429913,0.0925720626789789,0.0704788945901636,0.0918360427686914,0.0940109322387598,0.0005294645489355,0.0930583380184432,0.1147508048048817,0.0604602219595244,0.1480015176498314,0.1278779847301803,0.0743291821352556,0.0458049484096052,0.0964104186117942,0.0683596675228574,0.064139401074343,0.0976782165270405,0.0871194138733833,0.0397897103891939,0.0007583999624102,0.1173081552242543,0.1095691371863856,0.080205687310405,0.0494872423330404,0.1188807651406338,0.0899590864562109,0.0642979922666626,0.041848688262413
64,0.0375332423341189,0.1023499010617568,0.0651371145215353,0.102047861276134,0.1009892128752938,0.0005550588373739,0.0923863341927386,0.1141089578219675,0.0755638731897746,0.0541471998151912,0.1654933824949423,0.0812877983720762,0.0488880887200938,0.0730037232822223,0.0667307856257828,0.0516963397866772,0.096739846339129,0.0806797085282864,0.0375725720048269,0.0400361824082477,0.1032596763738885,0.1108535503376277,0.0710852402223792,0.0505657448480137,0.1020494849008559,0.1106414161250757,0.07104662470706,0.0424821640747707
66,0.0388352993252465,0.1037128211946626,0.0526553981654112,0.0893069002916412,0.0848872047338658,0.0006721066753111,0.0460301181841903,0.1150891340281352,0.066918515498219,0.1550140213315227,0.1622052107765067,0.0783984991869278,0.0432246245725345,0.0702113983654091,0.0651019037287081,0.0572066049851198,0.097047371198136,0.0857133322415811,0.0299532957713403,0.049991271346173,0.1184642307889091,0.106684950634529,0.0776540292641316,0.0502306602023241,0.1113721584421185,0.0833889445950104,0.075765495695786,0.0275860885010114
69,0.0367631265740956,0.1073985115673644,0.0580240976315945,0.099035428559031,0.0908501434884768,0.0004437974161352,0.0882234940471137,0.1184805706747006,0.0682477927189841,0.1201227530388269,0.1624174769021583,0.0779208803160435,0.0446343917676953,0.0942493138346125,0.0642188970861206,0.0554238495705382,0.0800031406109181,0.0857136416810143,0.0325016238024559,0.0525172433117963,0.1388490188626612,0.0968366616225757,0.0843615656986242,0.0006384838013809,0.1083827142284747,0.0896492151455484,0.0725893087338261,0.0364117986255505
72,0.0366609183158724,0.1144151263712051,0.0714318274881055,0.0952338408084098,0.1096138198342205,0.0005557955687086,0.0864382136474658,0.1308526948773018,0.0320005635899749,0.1296323582559314,0.1545608829393129,0.0810227973755586,0.052287859293967,0.1089611732117392,0.0618473002987128,0.0584444049574033,0.0831989223885725,0.0791367131501508,0.0389346833642995,0.0488989275487173,0.1261298570257389,0.1045782677074081,0.0781619132772023,0.0006166758594644,0.1003455237872828,0.1117601097589535,0.0792970362419476,0.0347832635116824
74,0.035034108695876,0.1211039322544419,0.0634972088077044,0.1081325198840846,0.0922431514330051,0.0005281754723167,0.088271546685019,0.1172794606817114,0.0619118838176707,0.1548539834744856,0.1298966419460598,0.0740420931645112,0.0518772473554584,0.1021341024373002,0.0631923882021705,0.0545684589140054,0.0830648750695481,0.0446128621845008,0.034285862969209,0.0474336445314965,0.1264343963817576,0.1170070248911315,0.0805711923442159,0.0531677618116217,0.0505130892453695,0.1113753887976719,0.0811626613714,0.000500758163466
77,0.0411438798386125,0.1149129532792938,0.0633520664019685,0.1054985167574307,0.1003631712195399,0.0004212603525541,0.089590665447963,0.1264747872631135,0.0766105608795109,0.1274481287246109,0.1559055710822386,0.0756404322781393,0.0484986176782699,0.1126706912816011,0.065646862756739,0.0527489590044802,0.0915889823171289,0.0010805803284133,0.0005208619687767,0.0154572425410734,0.128863721500634,0.0023916707248238,0.0772196728114149,0.0506144931220598,0.1031686952375508,0.1120165169620013,0.0708568465674239,0.0393528077097304
80,0.0383495399379564,0.1237373498231741,0.0701685246052205,0.0854488281568657,0.0919775182316484,0.0005229141202297,0.0898921442424684,0.1176464272003667,0.0674253226567911,0.1434212040922638,0.1522966890758947,0.0707009396096194,0.0451199880010814,0.1094353799223478,0.0643621495067064,0.0588073326785067,0.0972925845029287,0.0012091704936682,0.0358455524531695,0.016188899820814,0.1194249293569085,0.1282211009568769,0.0802856234452467,0.0502431704769659,0.1020255965298845,0.0894945870242431,0.0686264728087305,0.0357843462511154
82,0.0376388984795685,0.1245895424558986,0.0769849828084725,0.0923756294152028,0.1027849743946479,0.0003512766140604,0.0886448053412292,0.1105180153547089,0.0748586707493443,0.1563963284692748,0.1499593418637451,0.0889013105569095,0.0571086035189633,0.1082107812752987,0.0655769625733327,0.0600744936618894,0.0942124583573809,0.0013377606589232,0.0360059248127529,0.000534571416742,0.1439917909490672,0.1174456561135752,0.0805715630568084,0.0512751078235445,0.1015983884244302,0.1078036289984026,0.0667017568779374,0.0005946424546017
85,0.0359671827407721,0.1179215525809823,0.0708559562677673,0.0993024306735398,0.1116204537990471,0.0003133455292498,0.0940582762757004,0.1314949177034591,0.0644467603633625,0.1792572125832177,0.1730469956237223,0.0745600581449997,0.0487890468855041,0.0996658558556533,0.0646904525701364,0.0281540726597703,0.0923012243989541,0.0012078429597363,0.0005019060005803,0.0004700385387935,0.1048926988960153,0.1167528123408499,0.0763273832200721,0.0513569773607313,0.1017881347792887,0.1005239547921907,0.0673728330823459,0.0350108650831977
88,0.0362362234203358,0.1112535627060661,0.0838610496608805,0.0679497709101371,0.1188894938911004,,0.0900650802251542,0.1199025067708074,0.0648631659012994,0.1507933436681018,0.1421764643225749,0.0790858888940227,0.0487056358105988,0.1061690564272131,0.084566149518387,0.0583420189207807,0.0992521732583183,0.0012480817512626,0.0392932566125626,0.0004343649132317,0.1058373794557603,0.1214068090587182,0.0764971958330476,0.0510333353002841,0.1036835298694888,0.0992205016468705,0.0613115751585824,0.0363958487772874
90,0.0427002346739388,0.1070630842367776,0.0878379222079992,0.0891532109899894,0.1067432517153033,,0.0890693296869849,0.1161987750865262,0.0704968731671442,0.1556484189188863,0.1717028781921178,0.0864092922445509,0.0507697426479626,0.1075330683979898,0.0909659753952227,0.059546727601077,0.099949908500486,0.0012883205427888,0.0004811549610842,0.0004446470481656,0.108355595601297,0.1076281871382523,0.0712698901885285,0.0551625794049277,0.101637175713724,0.0991570956546214,0.0648087455789813,0.0340294796207234
93,0.0005857833904168,0.1115641814620304,0.0998419943445988,0.1103566510698419,0.0975062405240457,,0.0880735791488155,0.1124950434022451,0.0653332594297315,0.1692892322710262,0.1703824297777137,0.078003593753641,0.0447726569923187,0.0945912514940389,0.0913019327552415,0.0571855984851094,0.104836476711663,0.0864662997320083,0.034306955443187,0.000390373288466,0.1193811530588667,0.1047684566794531,0.0767380052740679,0.0532182795822087,0.0998562526222162,0.0964062278124966,0.0639842911744954,0.0005187168439323
96,0.036267140754372,0.1160652786872832,0.0915597256228875,0.0900262787265144,0.1127420238723924,,0.0901659437355037,0.1263461544358885,0.0748422337279098,0.1644816769178519,0.1420145688511436,0.0852205240807538,0.0494962195898133,0.1074146756775212,0.0988639444019036,0.0640152423404191,0.0845610788503672,0.0600152674549036,,0.000360856469118,0.1231114950640068,0.1045228090981371,0.0638103477757113,0.0516538720348709,0.0980753295307085,0.1007096858147289,0.0601024397261459,0.0005096095204703
