Time,10,5,5.1,5.2,5.3,2.5.1,2.5,2.5.2,1.25,1.25.1,1.25.2,0.63,0.63.2,0.63.1,0.31,0.31.2,0.31.3,0.31.1,0.16.1,0.16.2,0.16
56,0.1898446599209035,0.1339075838420551,0.2241698598307985,0.0606416481120676,0.2648970402908937,0.0774816256232047,0.0665376959808974,0.0521337308137799,0.2311667052882028,0.1532497106698598,0.0633663859918505,0.1419334913277523,0.0832802675790401,0.07170743679444,0.0812538253364297,0.0661162280850713,0.0626174563899625,0.0005839060168889,0.1053620966594479,0.1017110890188308,0.0005174367936904
59,0.2058178876403889,0.1367087480937788,0.2151653671902314,0.0773947859775541,0.2254805001810639,0.0773496886863092,0.0605063131718192,0.0552070443994545,0.2288797536548763,0.1537316747672087,0.0455984770700854,0.061551969200676,0.0684033204894324,0.0734862436040563,0.083593313889885,0.0659750240686634,0.0661721002576154,0.0415444829541413,0.1117976141331969,0.098174070667404,0.0009308440192831
61,0.1692982136342555,0.1305724701988889,0.2206499894093933,0.0867219199840603,0.2019115504801501,0.0810091093459723,0.001078109336217,0.059166317455083,0.2473202216606105,0.1487898238263525,0.0442212879701761,0.1358123922496021,0.0560864621176689,0.0752650504136725,0.0857502543325931,0.0706184059150304,0.0632776208966331,0.0438022843979014,0.1364338616684808,0.1040106543064485,0.0133976429651686
64,0.1604159982149228,0.1204828575525433,0.218771919091237,0.076834300490824,0.075433537574297,0.0835134215731526,0.0644139482281802,0.0513539132182784,0.2355081435443138,0.1528221406173251,0.0405810824091347,0.1500049405147132,0.0551217649794879,0.0871032994068971,0.0867406523877931,0.0643318786323892,0.0302521437050012,0.0403409842773197,0.1162614984637611,0.0474642952405157,0.0004836367627973
66,0.1532030087535789,0.0081912701212325,0.2382213245075701,0.0792380057741416,0.08923808764081,0.0010079669366893,0.0657795308853336,0.0405732222601005,0.223696065428017,0.1363306397870591,0.0322841754437057,0.1536764067616984,0.0501923558161688,0.0760006473330252,0.07985762840062,0.0731580860052066,0.0632816032250231,0.0368796841567381,0.1190663755800943,0.1021366061724323,0.0004786279593187
69,0.1840839954202372,0.1250594450962328,0.2206468071741828,0.0654950627386524,0.0940156821893086,0.0323233104119297,0.067145113542487,0.0414718183845825,0.2215801495509876,0.1657428037010688,0.0294040622107036,0.1615608078956259,0.040243166554558,0.0759520190255216,0.0959554857944768,0.0727085587974284,0.0602442438597382,0.037857732793279,0.1221484253884579,0.0953341978815277,0.0004967190099434
72,0.1491648730148536,0.1181671921708632,0.1795964643020342,,0.1919226854022163,0.0636386538871701,0.0655288172089292,0.0406502471167604,0.2216224959081137,0.155728076432406,0.0275398376177525,0.1246324516114192,0.0365613323032259,0.0732012402842167,0.0886915967546998,0.0691856372179968,0.0651013743607765,0.0358470052499246,0.113698961888625,0.1132932671086244,0.0005148100605682
74,0.1843530401175952,0.118765710369491,0.1713379904865385,,0.1684085191924814,0.0651173546318521,0.0710856401205432,0.0398286758489383,0.23624574109894,0.0758965983028367,,0.1679823470580628,0.039715756918999,0.0720878335320807,0.0871215120696192,0.07815725621373,0.060360461496118,0.0126261374864242,0.098432190730441,0.1080283598112542,0.0004780156533036
77,0.1771371755826009,0.1221270597402441,0.2160409831192246,,0.1571821469256451,0.0665960553765341,0.0639699621030962,0.0390071045811163,0.1868002544238548,0.177437923718176,,0.1768931769416596,0.0009434816984234,0.0695060846901884,0.0846183444196869,0.0687022758391558,0.0544751376866372,0.0004230466368475,0.1152782164347461,0.0999505752072747,0.000475880303318
80,0.1259923857174546,0.1421158778724741,0.1872304174473697,,0.1476723609028253,0.0301977431708248,0.0672696136033141,0.0409274959206337,0.2146003655252284,0.1737277697387255,,0.1941733852091787,0.0400849518232971,0.0682202315625394,0.0840547241697404,0.0660899671047171,0.0455329744098485,0.0035216131793389,0.1198291438554987,0.0909480610735171,0.0004313087994435
82,0.1456974314177535,0.1311880310597132,0.1960420455565318,,0.1463567462326861,0.0704345594371805,0.0694304051218443,0.0428478872601512,0.1998845587607655,0.170017615759275,,0.1715129223506354,0.0365094734818723,0.0689174453690355,0.081520330148678,0.0645856789675673,0.0457065974415839,0.0004846615719579,0.1116979257808419,0.0449657252779457,0.0004877142804529
85,0.0698550867249017,0.1202601842469523,0.194670860705349,,0.1665813836112431,0.0624400538420392,0.071761276381084,0.0383946104584262,0.2040838339753791,0.1542084128670767,,0.2295610266450686,0.0392334094205956,0.0349232135512879,0.084096668784823,0.0675207074932753,0.0412036296285582,0.0303841214078105,0.1101582537116139,0.0997899112771129,0.0004951277094236
88,0.134507386480584,0.1193894688926034,0.1822804635974137,,0.1714155700357608,0.0558619862125461,0.0684596387425398,0.040639705128882,0.2290495380571506,0.1491717449877915,,0.1957834832015217,0.0452437288051595,0.0666955586651922,0.0875185184796025,0.070104191182006,0.0447204671260117,0.0397700870876815,0.1084623887622289,0.1026712975776154,0.0004845305160378
90,0.1407390301444556,0.132755528495711,0.1884055968664905,,0.1867134148869381,0.0666673247161202,0.0666725941297701,0.0432276334765987,0.1861943998943965,0.1737813562805728,,0.1972763355608024,0.0465947631398078,0.0755050713754125,0.0824553707610694,0.0736343650125856,0.0418945153297002,0.0417489563478755,0.1176472591607138,0.1055526838781179,0.0004854218045763
93,0.1400678913033648,0.1214128226789174,0.1828652980070263,,0.1547413792721632,0.0585362976661992,0.0007400730744902,0.0456690854478781,0.2124408082846793,0.189931981876872,,0.1896992078324766,0.0447376750201666,0.0672614466049547,0.0897992230078625,0.076025088507353,0.0387313484841846,0.0519430721230193,0.1239380870159787,0.0938894404841609,0.0004642060636556
96,0.1642314815222385,0.1337572823610123,0.167924947772183,,0.1768814097686,0.0559954007292243,0.0606910386978135,0.0457072192943177,0.1938676217709568,0.2060826074731713,,0.1785937600388221,0.0418660132720163,0.0665720667284196,0.0894084719314602,0.0785993746167286,0.0390542387641727,0.0437537081707484,0.1071766410102239,0.091698154181058,0.0138100618470439
