Equation,Target,Model,Accuracy,AUC,N_samples,N_features,Confusion_Matrix
hormesis_v0,Arrhythmia,XGBoost,0.52,0.5714285714285714,25,18,"[[6, 5], [7, 7]]"
hormesis_v0,Arrhythmia,SVM_RBF,0.64,0.5974025974025974,25,18,"[[5, 6], [3, 11]]"
hormesis_v0,Arrhythmia,RandomForest,0.52,0.4675324675324675,25,18,"[[4, 7], [5, 9]]"
hormesis_v0,Arrhythmia,GaussianNB,0.68,0.6233766233766234,25,18,"[[4, 7], [1, 13]]"
hormesis_v0,heart_damage,XGBoost,0.4,0.1,25,18,"[[0, 5], [10, 10]]"
hormesis_v0,heart_damage,SVM_RBF,0.68,0.52,25,18,"[[1, 4], [4, 16]]"
hormesis_v0,heart_damage,RandomForest,0.8,0.14,25,18,"[[0, 5], [0, 20]]"
hormesis_v0,heart_damage,GaussianNB,0.44,0.20999999999999996,25,18,"[[1, 4], [10, 10]]"
hormesis_v0,Concern_Binary,XGBoost,0.56,0.49333333333333335,25,18,"[[5, 5], [6, 9]]"
hormesis_v0,Concern_Binary,SVM_RBF,0.72,0.6733333333333333,25,18,"[[6, 4], [3, 12]]"
hormesis_v0,Concern_Binary,RandomForest,0.6,0.5533333333333333,25,18,"[[4, 6], [4, 11]]"
hormesis_v0,Concern_Binary,GaussianNB,0.4,0.62,25,18,"[[7, 3], [12, 3]]"
