Time(h) / Well,8,8.1,4,4.1,4.2,4.3,2,2.1,2.2,2.3,1,1.1,1.2,0.5,0.5.1,0.5.2,0.5.3,0.25,0.25.1,0.25.2,0.25.3,0.125,0.125.1,0.125.2,0.125.3,0.062,0.062.1
53,0.2065004568630268,0.18513684210526318,0.2135863199033064,0.20926653003966955,0.21230642206047223,0.24859513376020845,0.0005734334553559602,0.19093014523415158,0.23720352580083143,0.28956300367002646,0.14581585978813388,0.19791846845052755,0.0005,0.1818884166559074,0.1791190543810697,0.15119916980988748,0.06429340814390307,0.1927812609587163,0.16329785215216183,0.1922807540896608,0.0007509253939300026,0.2052956062477601,0.06773695850223078,0.0818955121866473,0.012818539880145396,0.08917419347368451,0.19971951730271795
56,0.21391550228297432,0.17956315789473684,0.2174889839874348,0.21552358097878474,0.2141265519185945,0.2495055793442645,0.0005380036319453134,0.19314539406152742,0.24235716501010224,0.2862181849762563,0.13267633613403956,0.19656045809522343,0.0006,0.17131716147878906,0.18290958350530911,0.14547930734488912,0.06221141143220935,0.19649585601295314,0.1587693663173595,0.19325015810477147,0.0005479172901357324,0.21717853557486014,0.0609334612506295,0.08003695348567963,0.019463293205738728,0.08687942213039829,0.20313084354496572
59,0.2260197697856003,0.17398947368421055,0.21580704283280863,0.21509253623682079,0.21504545205605397,0.25780371742636266,0.0005061171771585873,0.1975449135572415,0.24646822854563738,0.2819248214938859,0.12730510185200142,0.196224792031186,0.0004,0.1560602894762258,0.18616438283588416,0.1403527047429417,0.05924641391080663,0.19796853466152875,0.1533388003280501,0.19253881296668332,0.0003931330286343252,0.22279223478328555,0.05331407877972463,0.07808545237870043,0.026251323916130193,0.08516715724690663,0.20663223871579164
61,0.23528301171317076,0.16841578947368424,0.20679340151978914,0.2111912877980206,0.21290273246239674,0.2672041758828929,0.00046200632873879627,0.20352959985168348,0.24944491417689782,0.2714513495635164,0.13227090762254126,0.19660185792829407,0.0002999999999999983,0.13872147728334489,0.19064160231680438,0.13507503873278828,0.05640048570955256,0.19975214666230176,0.14819788399947093,0.19131168953202649,0.00034437388240257725,0.22544696315854057,0.05716464205138999,0.07767530113251567,0.03089003626593057,0.08446747406997022,0.20852329811906364
64,0.2339161424759341,0.16284210526315795,0.19381525359662036,0.20601221828820424,0.20628017626612588,0.26899240240831274,0.00042696587683655265,0.2084433531273718,0.25182337068915306,0.2578667321350673,0.1369722290368256,0.1964928687060106,0.0002999999999999983,0.12308122133509415,0.19415987394210124,0.13092471539693282,0.055629609108726,0.201822918734109,0.14462355869946078,0.18556428781408063,0.0003597946380952385,0.23066680351729069,0.058700502583927394,0.07930512339701992,0.030487821161572705,0.08461052792806074,0.20987528876177383
66,0.2266351346735214,0.15726842105263156,0.18191371202572248,0.19878363268221141,0.20085933531232736,0.26580943634401566,0.00042256198892802964,0.21306419424135595,0.24886130550448385,0.2494720969077423,0.14323389065263556,0.20071781405730155,0.0003000000000000003,0.11003541787279364,0.19539624373759304,0.1295338067907333,0.05513291085248517,0.2034112929029694,0.14479236800437362,0.17871765255852498,0.0003794165061381101,0.2362016709576299,0.05978972499377279,0.08155705371424389,0.027890600241346302,0.08478464593858329,0.21199572652711599
69,0.22149483496983519,0.15169473684210527,0.17386526559090446,0.19048886867363127,0.1971680741210342,0.2627144604356641,0.00043905705399308937,0.2161708952441627,0.23845746893338637,0.24594130683590543,0.14799335315933798,0.20554658800898792,0.0003000000000000001,0.09967358522742834,0.1953218189088805,0.12963668606232773,0.05444791663225074,0.20314050122171998,0.14682461024729704,0.17415381929055712,0.0004041699305125677,0.24010305482096114,0.06153373963782457,0.0850614227527186,0.02320310897842747,0.08487880223487562,0.21421754027361195
72,0.214084743381063,0.146121052631579,0.1798246715621631,0.18136733805568447,0.19580263485288144,0.2591400954028785,0.00046042906086957587,0.2170812035402633,0.2238861636808448,0.24645166368991162,0.14531433504410524,0.1666632478792341,0.0003000000000000001,0.09481489085298223,0.19692198053378734,0.13025487185805362,0.053253391810362725,0.2010015023577008,0.1483938290903445,0.1714315408519334,0.00043921007470756223,0.2420656701063422,0.06529351737610066,0.09118803288030175,0.01786997674041541,0.08544879916646192,0.21409146670142878
74,0.20689248507466756,0.1405473684210526,0.1919677335206163,0.17043622159614924,0.1949190110587695,0.25447489347135194,0.0004808144309450216,0.2148369424019912,0.20907319474283242,0.24669590163479896,0.14639214783906268,0.1538132784555725,0.00030000000000000003,0.09109838688741091,0.19965378598175637,0.13287849488610454,0.05222101537064722,0.19794677769273905,0.15122424477635488,0.1687296409441731,0.00047107664497447537,0.23498720577595714,0.06887256759791631,0.0986402908250143,0.014585858176769809,0.08613347937928624,0.21348641707974947
77,0.20686670189772857,0.13497368421052633,0.2059467785110512,0.15839081462135485,0.19533683514613465,0.2493589308383483,0.0004955499959426598,0.21224594620020992,0.1944226614710419,0.2440183727605485,0.1490186389736467,0.13264098130310775,0.0003,0.08562695645397801,0.2003118043784882,0.13579325688604743,0.05129003269467839,0.19607109001837447,0.1552711999811994,0.16411166115440903,0.0004875936062784313,0.21458690541659894,0.07390839241526445,0.10693612443325137,0.015227228090843724,0.0868035292705872,0.21446657079681583
80,0.20638324826200324,0.12940000000000013,0.21811421754675425,0.14668271879470846,0.19318706948796416,0.24430744952993283,0.0005,0.20968751930218055,0.1810032353894743,0.24050898503458537,0.15182530684069298,0.1241979606528742,0.0003,0.08242794435088169,0.20020185873512067,0.13792381678546375,0.05004067883141698,0.19587496948563082,0.15704684063288374,0.15583904920634944,0.0004968724777740446,0.18463604858208185,0.07978815843821799,0.11636259186452987,0.01828255987492382,0.08803934423471689,0.21284658754605842
82,0.20030160689617607,0.1296395547182204,0.22245743367813497,0.13871122418545326,0.1866061028753326,0.23857578510572713,0.0005,0.20779802668235986,0.1701803891802644,0.23636672080703916,0.15808169188717414,0.11579795717360208,0.0002999999999999999,0.07593602030903884,0.19716146586463043,0.1414042047896709,0.04896042425824647,0.19827288111813665,0.1576830771524173,0.14205562265585583,0.0004955068347351997,0.17172744423831005,0.08582682209300299,0.12251271705190898,0.022377021615383998,0.08842678220994085,0.2101519604602304
85,0.19176191046055815,0.12781000886800709,0.21926066898765484,0.13414629969798528,0.17945721910104265,0.23297384998198448,0.0005,0.21029620422594184,0.16762921404672582,0.2308211381802799,0.1657960844271778,0.11194827223694516,0.0002999999999999997,0.05901859011790311,0.19390967978107204,0.1465860153821239,0.04792443073962629,0.20200743875536645,0.15715246497251892,0.12545175877508968,0.004546531645715072,0.1719425461538901,0.09161416309360161,0.12498288975472398,0.02565951018377176,0.0879113380380476,0.2100890802523926
88,0.18266065949348886,0.1260869151443538,0.21541853428405222,0.12731643736977785,0.17552010062102064,0.2292525225898478,0.0004999999999999999,0.21380923351363978,0.16928923677989782,0.2260172879319028,0.1691677435753572,0.10947711954405083,0.0002999999999999998,0.04269191542416577,0.19016014384661056,0.15111516169757386,0.04677571248462344,0.20518124855592224,0.15413685122004553,0.11026377283822021,0.012358042632594391,0.16694860429867314,0.09678169636184908,0.12535964973897926,0.026911264556036672,0.08768140165023154,0.21344833809427732
90,0.17493608945049727,0.12445525872072609,0.2100258664497353,0.12005263339817648,0.17519074562435585,0.22869509401810617,0.0005,0.2134869583804745,0.1726579799781159,0.2243675244893819,0.16994255094744085,0.10805614035193147,,0.026356111712769626,0.1833222843807322,0.15378267539278628,0.04610548275511775,0.20830774193697038,0.1523871066902069,0.09911211423557645,0.020015386909746566,0.17185019392668627,0.09911981125637809,0.1261558907668722,0.026818357735028452,0.08842219136260109,0.2196623538561111
93,0.167311535306508,0.12243711445773559,0.20486695696605633,0.11349788563524098,0.17505722155314574,0.22836641610140618,0.0005000000000000009,0.2131598759950867,0.17673380053292598,0.2225551234444842,0.1707723616912868,0.10709140933102095,,0.008865685742832575,0.1757465258323373,0.15666354765322146,0.04548518478005053,0.21086403679900312,0.15095071251597025,0.08809354499340802,0.027729517206506002,0.1775431934265856,0.10111318163026724,0.1269711724956752,0.026748990816244784,0.0891861673256544,0.2261479851482964
96,0.1602637517836923,0.11997589596636273,0.1999005973603144,0.10656838194596552,0.1757384895442991,0.2287915912241451,0.0004999999999999971,0.2123275678356617,0.1813838437258049,0.22086422435044617,0.171002643372596,0.10628783932429164,,-0.009141746224121585,0.16820885236826627,0.15939494852731972,0.04487588641000788,0.21296129144916304,0.1499212852328251,0.07767392487386818,0.03568171858233432,0.18299752428164523,0.10283855619766985,0.12794300035688033,0.02663713126462094,0.09018667167193192,0.23305573550346462
