,8,8.1,4,4.1,4.2,4.3,2,2.1,2.2,2.3,1,1.1,1.2,0.5,0.5.1,0.5.2,0.5.3,0.25,0.25.1,0.25.2,0.25.3,0.125,0.125.1,0.125.2,0.125.3,0.062,0.062.1
53,0.1914703849446387,,0.1975442268982758,0.224981134039503,0.2038340792555151,0.212740335955503,0.0007213681312509494,0.1846240409273167,0.2448955493615053,0.2248387261879327,0.1061828680078395,0.1885415927007212,0.0004991691844225991,0.178791862356742,0.153488082187375,0.1522740033263758,0.06977186679408215,0.1848935620722762,0.1784101896384373,0.1668243176303018,0.0003758800958264258,0.217443876017531,0.001671745685727151,0.112356002295839,0.0004298612381974325,0.09147132216493058,0.2270864987115596
56,0.212645304772607,,0.2413255899831342,0.2191203096242203,0.2425975488508511,0.2533778604744247,0.0006183756586928706,0.1889603824465543,0.2191715204019072,0.3187388505919148,0.1306586195100199,0.205467273642237,0.000595284636956726,0.1954975647117354,0.08576148795876506,0.1848527980575307,0.0004654746681256298,0.1886466457179647,0.1680287381815045,0.2331433609154783,0.0003316496266405402,0.01179682471881004,0.06158618248363145,0.0815342611627099,0.03117891047066455,0.08638010797926071,0.1911133735029815
59,0.2520927580754157,,0.2189318599339936,0.2303033756198016,0.1966497111783838,0.278564121723374,0.0005153831861347919,0.1869584469569068,0.254274991530983,0.002253965789405857,0.116940985070179,0.1985320925692682,0.00037031940061207,0.1522410450862698,0.199115832722563,0.1424261803240708,0.05515379176280002,0.1962891999066683,0.1483220443394108,0.185138488191249,0.0002823072035987587,0.2269483459667861,0.05306667481437979,0.077865682218006,0.0313624971474405,0.08128889379359083,0.1946827870871695
61,0.2331094542365668,,0.2460281397101799,0.2164899973847922,0.2570646100818028,0.2599666058404395,0.0004123907135767133,0.2242355985095335,0.1143647844436516,0.2743370188593025,0.06279969084728548,0.1858744752371984,0.0003090004803355876,0.1468439273877354,0.1945821883630899,0.1151704311512627,0.05428699343316203,0.2249477860720549,0.1365922130871901,0.2036190606283367,0.000449616814079618,0.2390669038199062,0.03292925809568741,0.07166884105802547,0.03265095279808435,0.08253052851857953,0.2135090335697396
64,0.2450645814201914,,0.002517361063100876,0.177773639334977,0.2003647849198944,0.272712100119437,0.0004111067993929729,0.1973502998492671,0.2620184560391488,0.2330584052168368,0.02349868997066034,0.2018725315974283,,0.1093125714291386,0.2006418936817162,0.1405117374978904,0.06003770172028474,0.1896579402391965,0.1383531261704149,0.1853953878714026,0.0003344328316123339,0.2092434309504868,0.0912887611634865,0.07788544233889609,0.03317917699409048,0.08377216324356822,0.2234811654286998
66,0.257019708603816,,0.1430837656622412,0.2075198996892444,0.2092015722863445,0.1095431214564032,0.0004098228852092326,0.2339946967381912,0.2479179424740811,0.237117065858595,0.1466848337121181,0.1985823447265249,,0.09141049129377465,0.1751333178242459,0.1206324021759012,0.05431286361193885,0.2063247713330841,0.1558886087594077,0.1815892820189125,0.0004003390693157791,0.2198090448083915,0.03577870910955416,0.07768626969706198,0.03407645664179705,0.08764993965550343,0.2174417425031845
69,0.0009578906403732967,,0.04482841190247049,0.1986297445175426,0.1628412885235004,0.2795562242305585,0.0004085389710254922,0.1910417015336571,0.2587425980669459,0.2407473650290445,0.149277416974915,0.08344762332528247,,0.1118160723057074,0.2059830743433961,0.1253313095032496,0.0006203941399536967,0.1905912104077329,0.13560325708248,0.1663228306156983,0.0004177666129270349,0.26501870081795,0.06150319355042799,0.09547914392794316,0.0004429762421996523,0.08833411753043964,0.1882763067766278
72,0.1156610676758956,,0.1739815062812128,0.1897395893458408,0.1940696959185392,0.2400418348786725,0.0004908623214256094,0.2267872878422765,0.211687948335476,0.2630716906727482,0.1529864575160848,0.002266409630054347,,0.09368133265774557,0.2011305028818297,0.1359381517100218,0.05307112620455419,0.2217066642597126,0.1555776961480621,0.1544579931613964,0.0004351941565382908,0.001554177600362337,0.06548632742143692,0.08456170270238733,0.033053377625449,0.08065502006772511,0.2121480955754731
74,0.2152068493458161,,0.241104428596131,0.1675122840942443,0.2018195618652937,0.2602567994304876,,0.2256787875258092,0.2207506866380224,0.2467595672709307,0.1375530348173881,0.1871640166419005,,0.07540152621104534,0.1887204963590865,0.1321045527745133,0.05314622334971722,0.207488437433194,0.1505172732939949,0.1830263729699018,0.0004526217001495467,0.2462018826070579,0.06858636392840532,0.08386714066726142,0.007293255850164895,0.08211299901692032,0.2360198843743184
77,0.1317513446672794,,0.1413487634999422,0.1430179749680195,0.2095694278120483,0.2372045723896777,,0.2151778509913442,0.1610955563718444,0.2444746482637052,0.1294058668801521,0.2045983708422473,,0.1028537349645888,0.2043589094555798,0.1290960288288738,0.05004731098808914,0.1816470985909455,0.1409937117697353,0.1713616933966944,0.0004700492437608025,0.2289080004971336,0.0734739628259225,0.1089536573422371,0.0005789951910296212,0.08858355180223583,0.2190164626540226
