Time_h,10_mM,5_mM,2.5_mM,1.25_mM,0.782_mM,0.625_mM,0.313_mM,0.156_mM
46.31131131131131,4.871779703611363,6.762247587431642,8.750353332121643,7.425980876203518,6.301458572505475,7.719648401617442,6.751123221254694,9.689508354327256
46.406406406406404,4.867427982752359,6.760445462377858,8.75101294132916,7.424311621473192,6.298722932508699,7.719049698325653,6.747014586880005,9.690827860721853
46.5015015015015,4.863129351047588,6.758665233070323,8.751667815819953,7.422660373037221,6.296019624719526,7.71845852657359,6.742941754333411,9.692130878872488
46.59659659659659,4.858874174546222,6.756902989407611,8.752318532470376,7.4210239032479794,6.293342694530635,7.717873611394423,6.738899013833373,9.693420527688716
46.69169169169169,4.854652819297428,6.755154821288301,8.752965668156783,7.419398984457848,6.2906861873347015,7.717293677821316,6.73488065559835,9.694699926080103
46.786786786786784,4.850455651350377,6.753416818610969,8.753609799755527,7.417782389019199,6.288044148524401,7.716717450887435,6.730880969846802,9.695972192956209
46.88188188188188,4.846273036754238,6.751685071274194,8.754251504142966,7.4161708892844125,6.285410623492414,7.716143655625948,6.726894246797184,9.697240447226603
46.97697697697697,4.842095341558182,6.74995566917655,8.754891358195449,7.414561257605867,6.282779657631418,7.715571017070023,6.722914776667961,9.698507807800848
47.07207207207207,4.837913416316418,6.748224855284891,8.755530009431956,7.4129503961233745,6.280145579086287,7.714998297305141,6.718936823088153,9.69977721730744
47.167167167167165,4.833722219313548,6.746490170309426,8.756168704293689,7.411336307340532,6.277505113231419,7.714424572553701,6.7149544242562795,9.701050123828791
47.26226226226226,4.829518778443105,6.744749808805915,8.756808990978467,7.409717548160197,6.274856193243865,7.713849077310559,6.7109615047915865,9.702327222446133
47.35735735735735,4.825300137392341,6.743001970319794,8.75745241998688,7.408092679715995,6.27219676151772,7.713271047278393,6.706951988446567,9.703609202494325
47.45245245245245,4.821063339848507,6.741244854396484,8.75810054181953,7.406460263141549,6.269524760447087,7.712689718159874,6.702919798973723,9.704896753308253
47.547547547547545,4.816805429498854,6.739476660581414,8.758754906977016,7.40481885957048,6.266838132426066,7.712104325657679,6.698858860125551,9.70619056422279
47.64264264264264,4.812523450030633,6.73769558842001,8.759417065959932,7.403167030136415,6.264134819848752,7.7115141054744765,6.69476309565454,9.707491324572803
47.73773773773773,4.808214445131094,6.735899837457702,8.760088569268873,7.401503335972976,6.261412765109251,7.710918293312946,6.690626429313191,9.708799723693176
47.83283283283283,4.803875458487488,6.734087607239915,8.76077096740444,7.399826338213783,6.258669910601656,7.710316124875758,6.686442784854001,9.710116450918774
47.927927927927925,4.799503533787066,6.732257097312077,8.761465810867227,7.398134597992463,6.255904198720069,7.709706835865592,6.682206086029463,9.711442195584478
48.02302302302302,4.795095714717077,6.730406507219615,8.762174650157835,7.396426676442639,6.253113571858593,7.709089661985116,6.6779102565920745,9.712777647025161
48.11811811811811,4.790649044964777,6.7285340365079565,8.762899035776858,7.394701134697931,6.250295972411321,7.708463838937006,6.6735492202943325,9.714123494575693
48.21321321321321,4.786160568217412,6.726637884722529,8.763640518224895,7.392956533891964,6.247449342772357,7.707828602423937,6.669116900888731,9.715480427570956
48.308308308308305,4.781627328162235,6.724716251408758,8.764400648002537,7.3911914351583645,6.244571625335797,7.7071831881485835,6.664607222127768,9.71684913534582
48.4034034034034,4.777046368486496,6.722767336112072,8.76518097561039,7.3894043996307515,6.241660762495746,7.706526831813619,6.6600141077639385,9.718230307235158
48.49849849849849,4.772414732877446,6.720789338377899,8.765983051549046,7.387593988442751,6.2387146966463,7.705858769121717,6.655331481549738,9.719624632573845
48.59359359359359,4.767729465022335,6.718780457751665,8.766808426319104,7.385758762727983,6.235731370181556,7.705178235775552,6.650553267237664,9.721032800696756
48.688688688688686,4.762987608608417,6.716738893778797,8.767658650421156,7.383897283620075,6.232708725495617,7.704484467477797,6.64567338858021,9.72245550093877
48.78378378378378,4.758186207322939,6.714662846004722,8.768535274355807,7.382008112252645,6.229644704982581,7.7037766999311295,6.6406857693298775,9.723893422634754
48.87887887887888,4.753322304853154,6.71255051397487,8.769439848623648,7.380089809759322,6.226537251036548,7.70305416883822,6.635584333239157,9.725347255119587
