Time,2.4.1,2.4.2,2.4,2.4.3,1.2.3,1.2,1.2.2,1.2.1,0.6.3,0.6.2,0.6,0.6.1,0.3.1,0.3,0.3.2,0.15,0.15.2,0.15.1,0.15.3,0.075,0.075.2,0.075.3,0.075.1,0.038,0.038.2,0.038.1,0.019,0.019.3,0.019.1,0.019.2
53,0.1579425323713656,0.1471443317550722,0.1008266031351622,,0.0757586781191267,0.1440965051933921,0.0773667704844352,0.0295548951368518,0.1345327821591782,0.1004568300194909,0.0652966624364122,0.0004513690648876,0.1609758175205447,0.1242049700966917,0.0489874755938101,0.0640705985133128,0.1200207777071568,0.0007466327689429,0.0004910386296792,0.1978283699424607,0.0003900655569469,0.0522015971928292,0.0221073901528562,0.0779132993924799,,0.0003010540489225,0.1332194511751869,0.1402054081267011,0.087571771890922,0.0007575103604372
56,0.1562044400470462,0.1121438574676502,0.09132905175877,0.0002991800164518,0.037916333406296,0.1291499974566533,0.0788044750361175,0.0294756538095908,0.121510082541031,0.1117663357103136,0.0666726713074163,0.0303009269149104,0.1808141641406768,0.1176276054078559,0.0510493061777928,0.0532843334410664,0.1092133656284067,0.0714319888669323,0.0003008158840194,0.1699856793465121,0.0002831891213153,0.0527739376557823,0.0481689184456673,0.0630794205924359,,0.0003346797507431,0.1508054826109219,0.1256602614462077,0.0828804163892313,0.0316283945002046
58,0.1791356322136373,0.1069940554980407,0.0956791073924126,0.0001721204004919,0.0857557519520035,0.1122657431061607,0.0659940530457205,0.0297996512773498,0.1335124801526928,0.1090597276777313,0.0662864013911203,0.0313672072655885,0.1764636891193336,0.1300825363209419,0.0505031727028315,0.0589984541155797,0.1120353252245626,0.1058781854474603,,0.1653177005861527,0.000226614291842,0.0549181477818607,0.0441968562282049,0.0776670495907531,,0.0005887946199462,0.1445154774804011,0.132504538361724,0.0808498894215848,0.0007994369136348
61,0.1652891290824473,0.0472762004287034,0.079529974778407,0.0002585507698454,0.0643153276180702,0.0500469181511638,0.06619384831928,0.000442508927279,0.1372370664679852,0.1084802142768455,0.0698980894072961,0.0291972568322868,0.1880931238189651,0.1130620737052238,0.046575732670256,0.058645935670119,0.1054069382144385,0.1367907300514406,,0.1544176566138088,0.0002326279964079,0.0526304336069088,0.0484428289128952,0.0919862743195731,,0.000309965209939,0.1653835630487317,0.1333355393890998,0.08335276759687,0.0472925653823373
64,0.1688698295374869,0.1154773459723582,0.1034882846903234,0.0004768951241776,0.0689614951899535,0.1055184844637774,0.063432620233848,0.0296177893545283,0.1343874850215818,0.1154959360760069,0.0775834757452246,0.029015071239077,0.1736861215456804,0.0924372364725065,0.0528542553199038,0.0622905058534805,0.1106800580381867,0.1421526607601392,,0.149138453289207,0.0007988269319309,0.0569758503606951,0.0553127994472904,0.1063054990483932,,0.0004118301499382,0.1428128797054879,0.1573022921519366,0.0805389754338043,0.0462659263031673
66,0.1619934274330047,0.1243852022369032,0.0691974175736936,0.0002644236056601,0.0834165953810808,0.0907175995607619,0.0646578544643183,0.0324851103826591,0.146231646182692,0.1352841215731548,0.0788272332980292,0.028684106941975,0.173702933444329,0.0629932187691976,0.0395977582253035,0.0585829497834245,0.1079220362468585,0.1541724942370217,,0.1631816545357327,0.0003409354731235,0.0590440712976616,0.0426248557267116,0.1286267978468108,,0.0006952250399501,0.1619365409963395,0.1298008090056131,0.0784866423355857,0.0385242448221532
69,0.1829660745929301,0.0943433882760921,0.0949809508075619,0.0002853996802911,0.0783731164702291,0.0946900020697029,0.0566172505131212,0.0278980047424505,0.1272918047853058,0.1086187891251125,0.0758851385807372,0.0270431536973647,0.1672417617066974,0.0002768980761101,0.037075747304272,0.0579344536925786,0.1113201112687786,0.1332407170628012,,0.1772248557822583,0.0004359632308107,0.0487251410281104,0.0393606182517446,0.1169531153865947,,0.0005907849990596,0.1802076842208796,0.1577998947486122,0.0834859805582451,0.0409595702905968
72,0.1843129123561024,0.1043109174980121,0.084097265337373,0.0003040995435175,0.0764151990262183,0.0983483257302383,0.0632543019827387,0.0004600886817078,0.1499382292256258,0.1230039466800971,0.0717558854472784,0.0328048864434992,0.1088116082735124,0.0017770581846716,0.0421502753523185,0.0770546832301635,0.1147181862906988,0.1307631672065468,,0.1500653387950337,0.0005367834975723,0.0458556447562584,0.0413103453071937,0.1159664409064062,,0.0009403523672512,0.1756965513471437,0.1483200997420122,0.0825265462883346,0.0013125550710401
74,0.1934792788180729,0.099956477598251,0.0996392291453127,0.0002742629441451,0.0929133668791762,0.0916169103259098,0.0590847532359753,0.0004698236201351,0.137877552539751,0.1270075562658057,0.0736865653132977,0.030534724072667,0.0515633480272303,0.0002092089905021,0.0004335034349571,0.0962286920371007,0.1502005630356467,0.0989157035070994,,0.1702610296398041,0.0014827266305255,0.046108522597936,0.0001788854381999,0.1225108023102865,,0.0008868101403704,0.1779268183605043,0.1151271579602311,0.0938165748016614,0.0466530872284483
77,0.1955621115663427,0.1154071735551677,0.0874119903238064,0.0002828896450938,0.10011844547804,0.0869974224052115,0.0504475576539184,0.0010006290774045,0.1520615216038056,0.1105326639310719,0.0678365471663333,0.0303863212977787,0.0411200690471051,0.0002174978132026,0.0004729022350519,0.1362898290269484,0.1253926907112325,0.0777011226164717,0.0003047753093736,0.1677347409151102,0.00854259931595,0.0493931473257035,0.0004306560351729,0.0004851151856961,0.0571479974041605,0.0019654572407935,0.1450980759480829,0.1728653380604097,0.0811873749767107,0.0477677581093014
80,0.1887034082554912,0.0999289099991456,0.1052392843834893,0.0002207872577435,0.0972357723399723,0.0986418875149052,0.0575285127729368,0.0004016578451193,0.125143887292018,0.1098485848936647,0.0609724709715197,0.0004372711848204,0.1032857988053198,0.0002284930359645,0.0004910055907933,0.1618650809681758,0.1326800231920359,0.0660891303520097,,0.1888276537346827,0.0005484147502373,0.0539065059179473,0.0003636073048888,0.0701765888222095,0.0522085618079672,0.0465262326723571,0.1492049212887303,0.1637844901079518,0.0949780468896171,0.0463203864421726
82,0.1727453727347033,0.1361014629632832,0.1005071448531076,,0.090097816698079,0.1004265280489526,0.0603587199821448,0.000619207018589,0.1483924428889292,0.0715283716276005,0.0566046357287029,0.0326397907438935,0.1516176464576267,0.0002274686298239,0.0004798714302604,0.1862649235232791,0.1495681536297197,0.0596491041327782,,0.151186062740489,0.0003713812276922,0.0711856885305251,0.0003349237421316,0.0401823601565747,0.0491995362396555,0.0476994145362901,0.1405545434625848,0.1470678399918186,0.0847760274361568,0.0521179954796405
85,0.1563342535168643,0.1207701851676314,0.0941995687923474,,0.1064053611685238,0.0866385288485831,0.0006787504138301,0.0003941689112527,0.1564953303920635,0.1088510632066287,0.0062738235849262,0.0258768890259759,0.1126610412002095,0.0002173563233086,0.0004020517824886,0.1767115544887427,0.1451204408320164,0.0726738598456874,,0.1235890646407778,0.0003707566474917,0.0666029581868908,0.0002707697971247,0.0843316674294585,0.0428431274082429,0.0003868191574617,0.1285179755296767,0.1485689254123955,0.0969347431090287,0.0520203902066805
88,0.1858163157119182,0.1436643689567399,0.1053900205216904,,0.0772050470969515,0.0928003206778679,0.0593932133259039,0.0003704864305154,0.1411458324928227,0.1052124182722785,0.0452731499271591,0.0272670570263945,0.0839647704814553,0.0003207662123337,0.0003546757130838,0.1795474908239801,0.1460340850255968,0.0669313869677306,,0.1496086203044677,0.0003461208733867,0.0633254115227267,0.000287291197018,0.0886451591185881,0.045652293538998,0.0489669006410022,0.1306212019612425,0.1500700108329724,0.0920284534276295,0.0519227849337205
90,0.1501821536135032,0.1218051381077417,0.1158959373227517,,0.0761243026750234,0.0994756364756653,0.0646669693940194,0.0003620284804712,0.1374427863537707,0.0940204878816799,0.04669281549729,0.0004047490109859,0.0005545354542582,0.0002363678257109,0.0003959033722,0.1979770503992301,0.1476346346175604,0.0655532301118012,,0.1342956510225169,0.000269327520749,0.0057454440974773,0.0003745644236479,0.0914903437163496,0.0642192201558423,0.0494325629733856,0.1424094398666991,0.1387061616815643,0.0989204337348582,0.0518251796607605
93,0.181500192383636,0.1292874208413883,0.0984071115558519,,0.082347588706835,0.0881810422576615,0.0287567730639671,0.0003359888455195,0.1628976523978337,0.0712241542088197,0.0468994804121105,0.0254608733646808,0.0004917790736964,0.000292371472793,0.0003354993561064,0.1970722711764443,0.1556460401933054,0.0635708674772954,,0.1333848106423942,,0.0658135474284296,0.0004887262704561,0.0917735740954792,0.0361451495038348,0.0440329372158973,0.140175385637917,0.1164555044085176,0.086657856856315,0.050383847716504
96,0.147146387761629,0.1282063161698393,0.066247743636858,,0.0882300316764347,0.0901695271534804,0.0610689466563436,0.0002860730132021,0.1581439819266905,0.0809744074682359,0.0447636211166606,0.0282582156475486,0.0004290226931347,0.0005441393519993,0.0006519904220105,0.1335980312923737,0.1492070783375487,0.0659379830119,,0.1160163459866658,,0.0745377505865006,0.0003109126351029,0.1099462796605204,0.0645244344771548,0.0326210414527442,0.1350382761121298,0.1137716957245686,0.0873528259556341,0.0468812298937824
