Time,200,200.1,200.2,100,50,50.1,50.2,50.3,25,25.1,25.2,25.3,12.5.1,12.5,12.5.2,6.25.1,6.25.3,6.25.2,6.25,3.125.2,3.125.1,3.125,1.5625,1.5625.2,1.5625.1,1.5625.3,0.78125,0.78125.3,0.78125.2,0.78125.1,0.390625.2,0.390625,0.390625.1,0.195313.1,0.195313.3,0.195313,0.195313.2,0,0.1,0.2,0.3
39,0.0017892095634198,0.0146173906745007,0.0007915134402184,0.0078574784343243,0.001011142380171,0.0026254240430114,0.0026259383068621,0.0066476035816625,0.0087135644595301,0.0012906745074994,0.0022817296341715,0.0043880189777979,0.0060839941295091,0.0012043219025119,0.0028194592611977,0.0055927065672051,0.0019063807052832,0.0015760615554118,0.0014038065876911,0.0127130682975487,0.0084703671814195,0.002464631983479,0.0038332654836969,0.0035741784636032,0.0019538477444272,0.0005355508978455,0.0089007583506295,0.0010760403083054,0.0049554887092333,0.0055796413759505,0.0152479268364389,0.0022576379276459,0.0004544857701114,0.0025208118245385,0.0033627232361622,0.0021514877893883,0.0011831021118,0.0008527460619915,0.0019957941888993,0.0060399175379084,0.0007403843691519
40,0.0015838576130042,0.0156688540050848,0.0006166326433256,0.0047482511434779,0.0009895178918358,0.0029421387755432,0.0030053987078071,0.0095461125127762,0.0092256651587274,0.00141316142393,0.001550952540058,0.0047725201726475,0.0078224952411395,0.001154270012296,0.0018664005398187,0.0069669841877996,0.0014031688123848,0.0020071661214173,0.0020938276427468,0.0139063691413862,0.0077612940812916,0.0011704837992982,0.0033300642846969,0.0040960921952795,0.0022732196941294,0.0005274232156619,0.0076070749227267,0.0013481607719188,0.0042225824754844,0.0056946780968654,0.016083567317552,0.0022868364442424,0.0004774511451024,0.0027952622483981,0.0030462457952992,0.0026570390605208,0.0010407454345164,0.0029276992620806,0.0019134679836915,0.0047082324866178,0.0006084302650159
41,0.0016263124583262,0.0183985531350681,0.0018300648371136,0.0061686728348739,0.0009728187386884,0.002731971638941,0.0045465429937847,0.0039854823126027,0.0090450897200702,0.0013734807807567,0.0024537172410285,0.0045683388959331,0.008568052820476,0.0012157193534757,0.0009133418184398,0.0050574550468331,0.0012944965902907,0.0028418401441668,0.005981743210521,0.0024357402968923,0.0021665412374228,0.0031534495123848,0.0035489013635479,0.0039398786583481,0.0038437272793585,0.001119297510685,0.007042842668289,0.0008419385162327,0.001465026893087,0.0054868005982558,0.0009467547400542,0.002373040842927,0.0019801762646834,0.0021811457348894,0.0043983093342783,0.0149433183967244,0.0032231626979998,0.0021480282144525,0.0049892606965583,0.0033765474353272,0.0030312636323433
42,0.0016687673036482,0.0211282522650514,0.0007049056499338,0.0075890945262698,0.000956119585541,0.0025218045023388,0.0029369726836155,0.0109619320916557,0.0088645142814131,0.0013338001375834,0.0033564819419989,0.0043641576192186,0.0093136103998126,0.0012771686946555,0.0015952620822645,0.0063844016051466,0.0012667058812304,0.0022220180220935,0.001625217232665,0.0140547733156133,0.0093166289493545,0.0013256468823672,0.0079380255290418,0.0037836651214168,0.0027284721409773,0.0008902383856289,0.0064786104138512,0.0015952620822645,0.0033055666559407,0.0052789230996461,0.0148322796025183,0.0024592452416116,0.0004692771978643,0.0030548863370365,0.0030835390195608,0.0028722127380572,0.0008461625813926,0.0025148358699534,0.0017561751762265,0.0049239783478974,0.0006596969000988
43,0.000767202272285,0.0205726922916644,0.0015992185591719,0.0131334725838878,0.0014368207200317,0.0077162305310037,0.0008645792431926,0.0129886514069376,0.0024384788007667,0.001103279342978,0.004307592506226,0.0017740333831257,0.0092257725082925,0.0010994736086873,0.0015131446852627,0.0032029385142475,0.001209174005912,0.0050044155605424,0.0016145473560732,0.0009623818690045,0.0011995948390093,0.0016455980533787,0.0052022256356056,0.0016802345940788,0.0011795217695906,0.0011754286821506,0.002451174200955,0.0035926991795804,0.0123918618817496,0.0014153956101536,0.0136222196556706,0.0025438481551111,0.0004441742452428,0.0010915494521735,0.0054515702095144,0.0026272527395771,0.0034529715692759,0.0019688976254706,0.0024799640156638,0.0053523304221172,0.0007429150133523
44,0.001716685417067,0.0200171323182774,0.0006537068665179,0.0083123165844081,0.0010190515440264,0.0026257790193152,0.0028953720437464,0.0150153707222195,0.0063452840781421,0.0013537111491521,0.0052587030704531,0.0035561950503031,0.0095769128900811,0.001901075069468,0.0014310272882609,0.0072718937610139,0.0014130979014252,0.0036726901266837,0.0016038774794814,0.0138506459694197,0.008869413734853,0.0019655492243903,0.0051407062852404,0.0037215542183708,0.0028578257879137,0.0007818989352432,0.0082159149616479,0.0032513809703541,0.0035979492664642,0.0052300676709902,0.0136061598146108,0.0026284510686106,0.0004190712926213,0.0032868404927156,0.0029684431310203,0.0023822927410971,0.0010197247650671,0.0014229593809878,0.0018003614985548,0.0057806824963369,0.0008261331266059
45,0.0010577736448379,0.0010775114420126,0.0015697642017585,0.0086210312857008,0.0008919392106839,0.0004988639576346,0.0017053348155616,0.0006000250245031,0.0007782324981374,0.0010334368478172,0.0010424143929357,0.001337311261644,0.0005264435935053,0.0009167873061966,0.0013489098912591,0.000748816742926,0.0008500685192707,0.0011424212419225,0.0009110820064819,0.0116472848208275,0.0012829637468982,0.0016346946350378,0.0010458523048933,0.0017991735994688,0.0012552351071808,0.00859409842728,0.0009857847804589,0.0005633755189113,0.0034224694087201,0.0009422286439908,0.0098803435932926,0.0004796894311474,0.001096747264359,0.0005950635674872,0.006994551035345,0.0008620380392893,0.0031634120576115,0.0004282998988823,0.0011242490103378,0.0049372031893253,0.0034766717290178
47,0.0010170565150483,0.0011557798350148,0.0012664411709339,0.0095792469052754,0.0008299565784292,0.00058520986683,0.001568553588616,0.0004469419257803,0.0005640310987783,0.0012255928859445,0.00104524230135,0.0011381966980563,0.0006778580422357,0.0009110248877796,0.0011792331055815,0.0008032408932192,0.0008418481797126,0.0010966463336583,0.0008189133333992,0.0119733515967495,0.0015586004659549,0.0025659300845657,0.0007992648715527,0.0026597626061759,0.0012024070426345,0.0067448749162797,0.0009454104191936,0.0009815945078176,0.0024372889785537,0.0008722876709467,0.008158146538171,0.0005184790379759,0.0009302310954771,0.0006085695542474,0.0006486548284101,0.000799162370127,0.0036116350931367,0.0004276875806785,0.0016589457196969,0.0010972596967892,0.0030093740998334
48,0.0012949950802771,0.0008107500031453,0.0005455168672756,0.0009939958640647,0.0008763660409886,0.0008147978155505,0.001272155013502,0.0012589876687442,0.0005456157780373,0.0006382179215476,0.0045728690482892,0.0006834779268584,0.0015794255230821,0.0009656476110061,0.0016234908446069,0.0006077094510885,0.0011698485452354,0.001079141920093,0.0007317604078884,0.0007347502456598,0.001261054350636,0.0009025023487562,0.0022073248829432,0.0010070279356392,0.0021081428298144,0.0007472137999844,0.0037858725694921,0.0125373148363324,0.0013467330755164,0.0009635869620848,0.0097172248009051,0.0011955285158739,0.0031929801050459,0.0002963024866325,0.0018220946078822,0.0008625003246583,0.0026832118152391,0.0024896741659975,0.0009069236403967,0.0007933174677499,0.000982242976396
49,0.0015729336455059,0.0220634576572463,0.0008766021363974,0.0091071294079683,0.000922775503548,0.0027306668209614,0.0021070990981191,0.0072365679268905,0.0059535943525139,0.0012545250516969,0.0081004957952284,0.0044128613594694,0.0024809930039285,0.0020821250575421,0.0022311641056229,0.00809202548419,0.0020758480211325,0.0025839022306831,0.0022715851082528,0.012861494651511,0.0081386207958955,0.0021668413169811,0.0036153848943336,0.0028934675707122,0.0030138786169944,0.0008867198835589,0.0066263347197906,0.0045957482481946,0.0047889780260005,0.0093141569907897,0.0133732670392774,0.0029811464685229,0.0003896832832243,0.00444409139925,0.0029955343873544,0.0020319893818997,0.0012714578004289,0.0045516607513165,0.0015584350765929,0.0044309552240494,0.0007881518949015
50,0.0121731580699215,0.0026728518954296,0.0012366194299341,0.0242018548416805,0.0014208234751841,0.0029005129388854,0.0062568352234166,0.0018174182539,0.002076835755,0.0007054930456477,0.0038316443829819,0.0051519962065475,0.0033825604847749,0.0011161755154855,0.002838837366639,0.0011277367261275,0.0016381264590055,0.0008396945902011,0.0017646521725181,0.0014486156822835,0.0065693036775681,0.0021707258203588,0.001239779505109,0.0012148290101119,0.003702018968677,0.0014144041980326,0.004672554902087,0.0010246833469606,0.0012679378305329,0.0073092232272688,0.0007119985704239,0.0015978028184372,0.0009592546541588,0.0007800758675609,0.0009230217478507,0.0019591321160788,0.0007547018152435,0.014142012629178,0.0123705879905091,0.0040163934243597,0.000993132596541
51,0.0005589979531163,0.0131955029425801,0.0011517351751009,0.0012502826840852,0.0011601058446426,0.0010880468456713,0.0040146305757985,0.0037679308974879,0.0009454856368189,0.0011061803776584,0.005713863825434,0.0011075993742269,0.0005009365188698,0.001127873559151,0.0024618794948972,0.0012042093892527,0.0012352044620667,0.0009275373782584,0.0011372890522996,0.0061343024631444,0.0008746427842267,0.0005021678388666,0.0009321107464921,0.0005591631914675,0.0031958969510886,0.001415549611195,0.0058048205477391,0.001472291354268,0.0009068518361442,0.0066847250417732,0.0081805974756691,0.0020451220262565,0.0010270102239023,0.0025390157704034,0.0011619696108042,0.0018760377148362,0.0016849341489861,0.0093422184935596,0.0073122484018602,0.0014222311521227,0.0009453541370536
52,0.0014260745590597,0.0237181539897306,0.0010668509202676,0.0075476261873801,0.000899388214101,0.0031520177166815,0.0017724259281803,0.0057184435410757,0.0062855745585319,0.001093023558159,0.007596083267886,0.0072363602531053,0.0056674488521142,0.0029095180816734,0.0023158264617903,0.0079385556367285,0.0023462587180421,0.0027858681570402,0.0034453917636807,0.0108199892440052,0.0073201126618868,0.0025600820264922,0.0041725707041631,0.0030267102256271,0.0026897749335002,0.0006428409637439,0.0069370861933912,0.0055575151632646,0.0063148395289082,0.0060602268562777,0.0156491963809143,0.0024924412340759,0.0005020821637175,0.004297955673246,0.0030136497812469,0.0017929433135936,0.0011938481523207,0.0045424243579413,0.0022539088132113,0.0046741327873801,0.000622292028248
53,0.001484235915419,0.0224078731495684,0.0013497042502652,0.0010474267022089,0.0008204210720396,0.00330005572843,0.0021532719933396,0.0063933446296427,0.0017961914701579,0.0010798667386597,0.007264542305636,0.0048852391558021,0.0013792804285873,0.0022491947439743,0.0021697734286834,0.0076243791993548,0.0009247249318526,0.0026494425784349,0.0026945096849432,0.0089441174811074,0.0064057555565392,0.0024958549403564,0.0033972898089534,0.0029275474107891,0.0027759731836497,0.0006998327001763,0.0061829574512195,0.0051000584575417,0.0065573717336167,0.0018300916081217,0.0005803043050156,0.0028176904401855,0.0004626850718977,0.0045210625135023,0.003715368566567,0.0017223129499165,0.0011294235256864,0.0040020312468979,0.0059174848179303,0.0011078964827612,0.0016372232590578
54,0.0015423972717783,0.0210975923094062,0.0016325575802628,0.0066073364713444,0.0007414539299782,0.0034480937401785,0.002534118058499,0.0070682457182096,0.0050088383422168,0.0010667099191603,0.0069330013433861,0.002534118058499,0.006607915069553,0.0015888714062752,0.0020237203955765,0.0073102027619812,0.0030770893701023,0.0025130169998297,0.0019436276062057,0.0070682457182096,0.0054913984511916,0.0024316278542206,0.0026220089137437,0.0028283845959512,0.0028621714337991,0.0007568244366087,0.0054288287090477,0.0046426017518188,0.0067999039383252,0.0058145033637524,0.0148107140037109,0.003142939646295,0.0004232879800778,0.0047441693537586,0.0069330013433861,0.0016516825862395,0.001064998899052,0.0034616381358545,0.0018232915223048,0.003483806086747,0.0006348402676168
55,0.001385866667466,0.0206793860225489,0.0014474434366959,0.0068384165693872,0.0008949722390342,0.0031868276106205,0.0021246095641961,0.0080842520227272,0.0061755147831168,0.0015829806168677,0.00711241481105,0.0041618680588451,0.0069458019451936,0.0022529027619602,0.0018776673624696,0.0078088820487243,0.0042789696717048,0.0013156983966936,0.001350813655122,0.0142526366441387,0.0059114014640265,0.0028580453056569,0.0046828355078284,0.0028778319269616,0.0025372352041504,0.0007461621213867,0.0060246643637801,0.0049310546306556,0.0052991051821863,0.0053036407248485,0.0138944460912951,0.0026647437289276,0.000412686031232,0.0048195293074218,0.0029173463644426,0.0012656344774976,0.0014625132982914,0.0045765804765687,0.0015852410224486,0.0023637407570975,0.0005950244146705
