,12,12.1,12.2,6,6.1,6.2,6.3,3,3.1,3.2,1.5,1.5.1,1.5.2,0.75,0.75.1,0.75.2,0.75.3,0.38,0.38.1,0.38.2,0.38.3,0.19,0.094
61,0.1194571910699365,0.03867362032356787,0.1582673002402297,0.1590260817148972,0.2042217231257936,0.07458079153371239,0.1088709609629703,0.08286747742169667,0.1458695360410857,0.1145223525966913,0.09413095429973643,0.06236437745255871,0.05998434776414355,0.07797455821782177,0.0004115315031122524,0.2277258627131356,0.04763542187545806,0.07329431804651007,0.05757292979389943,0.1847534268367651,0.004972737687586805,0.1302281759667386,0.000238209057242814
64,0.1338388509900276,0.03815526051570477,0.135294000644374,0.1702558729131927,0.1642113391139857,0.05484795049841997,0.1133921685315129,0.07437183527004354,0.1635355431232435,0.1191558929049577,0.09862993962648686,0.06808059793103585,0.073159160461188,0.06270513674554117,0.0003714900117058211,0.2081635060013383,0.04452007666241599,0.05341082574072701,0.001507393749321311,0.2148175935049997,0.0004795501434861573,0.1233298118499565,0.0004119542375236499
66,0.1345696856818306,0.001113525782827348,0.1168444216564554,0.1807685753109422,0.1755735712175804,0.0453591841725657,0.123220630858392,0.0765921356894504,0.1710638211393572,0.1186145520450812,0.09081609909372494,0.06460707791721546,0.06240920231215073,0.08021013566291398,0.0003804339973489415,0.2598103614485768,0.05039290755089254,0.05977334686285325,0.04318915829483289,0.187604335665686,0.001616923499343134,0.1208216804804701,0.0005856994178044857
69,0.1446000988434714,0.03867087535187569,0.1250766131022215,0.1846440619665975,0.07134641700414004,0.04730772479304975,0.1201110518844995,0.1092474317579447,0.1642841989981707,0.1113553875569742,0.1145969002486528,0.06592391326822543,0.07407552322744317,0.07897225055959523,0.000338679328340435,0.266505552392178,0.05111860942780596,0.06729157116456987,0.05499763962825813,0.1741689491207828,0.0003849335484195403,0.1325768796807165,0.0007594445980853216
72,0.1527629216142824,0.03757567634938719,0.1370430700396055,0.1654194788796825,0.1608393730730927,0.04652317288750635,0.1170014729106069,0.09698990829739898,0.1493275626308874,0.1181499134549641,0.0941172854263836,0.05314774382589725,0.07591705444735299,0.0582404407139145,0.0004752965700369809,0.2611088419207449,0.02109376069937876,0.06795704066505026,0.05874039602137945,0.1759974161942222,0.0003568216337635336,0.130761366123249,0.0002670358872081951
74,0.1178364951838915,0.00080114809660265,0.1476108373814482,0.1563152231895291,0.1974640791645703,0.0389428098179553,0.121063628306294,0.0921085195079851,0.1731234037957405,0.1178595933590327,0.1035382626023697,0.05060383241719375,0.08266465060867023,0.05581219372421996,0.0004643479811725767,0.2201674050802728,0.04621927472534398,0.06811984801125615,0.0710926821005483,0.191876307767306,0.0004008640599662091,0.1220292995599641,0.0005513619500836101
77,0.1561168729670493,0.03865073163686605,0.1297163523370268,0.1582890439003561,0.1783679340639725,0.05079083851433184,0.1251257837019811,0.0967838839784163,0.1798484203014777,0.1160748462651565,0.09932461966647181,0.06269719300097902,0.07549078074913745,0.05758584892310631,0.0004340830379990026,0.2123034054739941,0.04541220128020833,0.07817022293792644,0.07351412361050988,0.1910614684792382,0.0003755700413038537,0.1397103455119719,0.0003725388117235671
80,0.1472937938388265,0.001381553338736026,0.1268434223681473,0.1804584241909277,0.1594460928391825,0.04571667817661312,0.1291879390976682,0.09366993689605568,0.1691150750102817,0.1046591260301441,0.1174374456248697,0.05873409337706329,0.07153755393794724,0.03494499945718135,0.0004038180948254286,0.2071161602160929,0.0424880283239964,0.08401375297376426,0.06402164757679615,0.229728472826777,0.0004863775765780418,0.1258680347688011,0.0004787870081231166
82,0.1558297163101469,,0.1407943530577887,0.1624516175282726,0.1712735966689958,0.002267601154489895,0.1335053494986105,0.09397103987905898,0.1769208307815925,0.1041761796851915,0.1049700252924898,0.06489371042183033,0.0997663950579931,0.03925245690281251,0.0005187285261940664,0.121775269178144,0.03875786702682176,0.07703185347485603,0.07105391850488106,0.1722428485966662,0.0004387846502664655,0.138456438676426,0.0004191392958917293
85,0.1351471487510488,,0.1300715323842369,0.1847893542643773,0.1854683224731084,0.04573579892702093,0.1519129110653185,0.104357839407982,0.08869521953532042,0.1035722540904234,0.1121658978206832,0.05252634325698439,0.102862431680491,0.03484662998413747,0.0005065723203763958,0.1363334539925063,0.04224738704735202,0.07193098869189866,0.06964934504824474,0.1899268345042078,0.000438157616830634,0.1306837568767599,0.0004269869115692507
