,12,12.1,12.2,6,6.1,6.2,6.3,3,3.1,3.2,1.5,1.5.1,1.5.2,0.75,0.75.1,0.75.3,0.38,0.38.2,0.38.3,0.19,0.094
27,0.22012624692628535,0.00802499892278083,0.2059799437470664,0.15037327257472044,0.2178105528955673,0.2140039218283846,0.0672928833761166,0.08053142951516619,0.1641447417661384,0.12286079979473273,0.10483503099999945,0.07992900860334454,0.10552397729453371,0.08524659485264639,0.0016890837875867962,0.002222892143517922,0.08109332223820347,0.18031967665589113,0.00039710706287137093,0.11734612293872272,0.03844145155735602
30,0.22094143934776395,0.008957936011882215,0.2052484976463862,0.15435351628986418,0.22156243059937608,0.21689237555502652,0.07190864082774032,0.07969492115163632,0.16655170113871706,0.12337879701389018,0.10603477686275627,0.07693735918625534,0.0897130819192243,0.07888833747906807,0.0019974917614354786,0.009949776056950306,0.08017270736902608,0.1779078976780458,0.00039984710584067595,0.1186880833718122,0.03596486598572742
32,0.22090749105280402,0.010305461066501088,0.20441594198141275,0.15846778738017775,0.22178630756142473,0.2172109175906094,0.07677163947335533,0.07871174830889059,0.16895535766332168,0.12422349401137425,0.10595267350764132,0.07389675828006527,0.07328865637948885,0.07518221204887583,0.0023008801055911855,0.016614019021602387,0.0795817789994781,0.1762252003093646,0.0004039693060821314,0.12003900571281721,0.033498696195763414
35,0.21944012635407778,0.011713854132349408,0.20262423802845905,0.16210547886939108,0.21898925408634135,0.2122354962119354,0.08194766079782204,0.07795537228928304,0.1711386934151145,0.12541615760505237,0.10437368044566535,0.07111514698377927,0.05770045484212878,0.07425231323623832,0.002618164478760618,0.021131902343883853,0.07933287924446243,0.17550800441190056,0.00040867973589194976,0.12161937732459566,0.03207444745312917
38,0.21632566562880423,0.012721309884664713,0.19987595302960467,0.16547083274203414,0.21487630618917444,0.20087589628263888,0.08726175666714586,0.07755532865368701,0.17325139189297753,0.12687786640937102,0.10138282991151674,0.0687552915295014,0.04439749580712997,0.07431618988070875,0.002986526027976275,0.024972931982985995,0.07925037516858884,0.1757236360511077,0.0004136097852215769,0.12334959407490353,0.030297678434972816
40,0.2115464977419397,0.013257289958233534,0.1957387591543294,0.16864625061138955,0.21056351943672566,0.1859341799747228,0.09230511092064066,0.07729197506836619,0.17511490638208396,0.12828972903079486,0.09744061135205309,0.06691934907063292,0.03453179783992086,0.07459740184539665,0.0032769384264457898,0.02919807100903763,0.0791543635057458,0.17674308964530935,0.0004179557214750577,0.12486806639152409,0.026156614012646552
43,0.20514573086965396,0.01376843270324889,0.18956640151285875,0.17152090316449425,0.20653269519446676,0.17137617742257977,0.0967933654014609,0.07715348604352425,0.17668556239529537,0.12943560092064854,0.0932509573875558,0.06562702925491487,0.028077335074105217,0.0749567162370532,0.0028803504496799763,0.035208383130348124,0.07903432153248209,0.1781920057032667,0.00042162954073786206,0.1259104021106149,0.021487289698670926
45,0.19748371838495496,0.014738990623044635,0.1822818876636438,0.17377843178944746,0.20259648480228995,0.15752519246036645,0.10060256645788186,0.07717559355843534,0.1767372030954402,0.13004811301576946,0.08963103176990037,0.06482278013534361,0.02453109208458756,0.0752156075235746,0.0024739402941746,0.04320693039383274,0.07887078183192774,0.17982674213122185,0.00042505463932674157,0.12647037794231433,0.017242390262244004
48,0.1890540953192469,0.01643338593790149,0.17476493013153044,0.17530839032760964,0.19788385301796546,0.14294019992070106,0.1038853293766878,0.0774174674583262,0.17514082827170108,0.13014499220235243,0.08684545141576204,0.06434952924254442,0.02365441069900733,0.07524349832553971,0.0020919683870894564,0.04559576354632538,0.07849144821733141,0.18156880038726994,0.00042903315291837604,0.12662756942424314,0.013479771151893548
51,0.17998813188849003,0.018543325428521416,0.1681097322119229,0.17637922955695876,0.19189357370409418,0.12661219108003227,0.1069976642778947,0.07792245784808306,0.17342783965694486,0.12972239901347526,0.08507597331020636,0.06406970084002545,0.025170755710609605,0.07523762233648866,0.0017253165860749797,0.04570800334053649,0.0776379590816561,0.18316643172945482,0.00043291788176011767,0.1265611910161433,0.010114438829447375
