Time,2,2.1,2.2,1,1.1,1.2,1.3,0.5,0.5.1,0.5.2,0.25,0.25.1,0.125.2,0.125,0.125.3,0.125.1,0.0625.1,0.0625,0.0625.3,0.0625.2,0.0312,0.0312.1,0.0312.3,0.0312.2,0.0156.3,0.0156,0.0156.1,0.0156.2
61,0.1097670167289662,0.0004081948192741,0.0371263426642452,0.0122773673624546,0.0005707509497857,0.037184412646021,0.0023331874966045,0.0496185677883945,0.0543588998749245,0.0003576450489068,0.1298886537897882,0.0878030645642634,0.1574795654159361,0.1031627063848858,0.0736030298395721,0.0457382194495702,0.08220326727037,0.0461032763875737,0.0437832800168476,0.0003013977101939,0.1936424434907095,0.0831469626724651,0.080455682434717,0.0003862427918981,0.1414614572003252,0.1819340406322892,0.1206146011597999,0.0328090939479709
64,0.1080141761691371,0.0005291625666867,0.0373098598738105,0.0097405672763451,0.0006020765907855,0.0008189780530368,0.0016514790686946,0.0531938458890075,0.0482735416421166,0.0004438288162972,0.1238281861101732,0.0814119784908669,0.1371456912478619,0.1230021404487728,0.0685105344419977,0.047208836285127,0.0796072935075942,0.0520943302756654,0.0446195095292477,0.0005400122750856,0.1801898486457537,0.0753314391588488,0.0715281250701871,0.0005445616677739,0.1437573147103288,0.1485911816164933,0.1327894621519093,0.002314709898445
66,0.1045371219780613,0.0005027092339083,0.0374933770833758,0.000502626209693,0.0006524215068133,0.039732103794439,0.0015452340365828,0.0512219399605966,0.0525336850446276,0.0005839665576403,0.1286943242285741,0.0784640818538852,0.1553445123808431,0.1192154529555457,0.0705169098689441,0.0492711376345744,0.078283539697174,0.0526713991284564,0.0470264856449286,0.0005564979574894,0.1869346810620859,0.0690049132159819,0.076153680492627,0.0003355717383934,0.081553134682712,0.1684604273025896,0.1294815047280575,0.0013403057253254
69,0.1036739211990322,0.0005384705139892,0.037485604597116,0.0005431245269409,0.0006036620415739,0.0365178991617268,0.0015932260003319,0.0581129457656152,0.0437080828219286,0.0003560259046566,0.1285689160021005,0.0797606736524772,0.1582192520261416,0.1134113169346566,0.0770363002051356,0.048400163238929,0.0802508004341367,0.0528371578698041,0.0006634225648566,0.0004414513337506,0.1658690295901225,0.0741811667270196,0.0658216082410647,0.0003473880050484,0.1480058008628077,0.1582075496117841,0.1480600804663488,0.0007429785463127
72,0.1015099523818006,0.000792789962209,0.0005157955171089,0.0244343030994218,0.0005870541233978,0.0351116645665412,0.0015993777640334,0.0543786810975589,0.0430225335178192,0.0004008854222151,0.1279035998938358,0.0822751226663702,0.1504939219107581,0.1397000896496861,0.0787063928640234,0.047882159291101,0.0853265062808747,0.0560629718036614,0.0384754635288454,0.0004468478026529,0.1919160391438655,0.0763348744136674,0.0641068022527283,0.0004340311311119,0.1496382857787865,0.1369749523431802,0.1392974734692496,0.0138113496199867
74,0.1193266025324411,0.0005946311238525,0.0154269163441717,0.0006412917153618,0.0006467761776387,0.036087914554988,0.0015876175690249,0.0516671488389066,0.0408423253020453,0.0003796145230613,0.1263486733312044,0.0920948428094946,0.0683094870423764,0.1187877117698939,0.075679165841135,0.0481421338620376,0.0817948070970066,0.0486648793793383,0.0458526938354058,0.0368039024812812,0.1747500788639011,0.0788577144762647,0.0697004668011508,0.0004033480935488,0.1725642776969218,0.1469433101594829,0.1228546914420098,0.0136478882249991
77,0.1024224186734495,0.00050303292017,0.0221286124656985,0.0005233922190623,0.000602470465019,0.0008366312782212,0.0166382377325197,0.0007386412869247,0.0197781351660514,0.0003583436239075,0.1494186299749753,0.0830486043260719,0.0542882418222602,0.1243928438179393,0.078023182388996,0.0482682547144632,0.0840737123380804,0.0463483427026604,0.0007067885425628,0.0313144440033598,0.1553899691981002,0.1051905122919585,0.0009192771036933,0.0004440762896909,0.1564966140324713,0.1597058670079367,0.118562207002163,0.0008809116117856
80,0.0921193532457868,0.0005369974665612,0.0288303085872253,0.0005139748017261,0.0005126545668442,0.0382890332290109,0.0015627149173719,0.0521864795176938,0.0006134113045944,0.0002744003745309,0.151190350435596,0.0808814242311285,0.1441502902629586,0.1154646712087277,0.0812910149142195,0.0488483335230143,0.0857465388183703,0.0455581029384343,0.040816157065815,0.0005156254117257,0.1583456474903799,0.0952394252646901,0.0672394527837228,0.0004735051859539,0.1480516984994479,0.1363728445793155,0.1184524518308881,0.0009481768492607
82,0.0980936912970823,0.0006584312344772,0.0355320047087521,0.0005522698696271,0.0005725535505388,0.0386468425884914,0.0019876263048223,0.0515456307145167,0.0366184388229236,0.0003118560906246,0.1092466199490096,0.0799415068988548,0.1358926372488498,0.1085249104824644,0.0949081038022856,0.0488360968251993,0.0851837815774553,0.0475169950370559,0.0446366327447042,0.00050694247799,0.1472364544298675,0.0771573111136934,0.0614739345067684,0.0012966104388508,0.151761297028109,0.130784074242021,0.143631140353613,0.0008990679009008
85,0.1040680293483779,0.0007505010980356,0.0350170791311698,0.0005609837012919,0.0015416225012084,0.0364121634835394,0.0018803713664729,0.0047955923583157,0.0476252231145006,0.0002933399723977,0.1157604903267817,0.0908415310726393,0.1550217776854489,0.1009155547073263,0.1224861757179525,0.0490359163823993,0.0899499153698274,0.042406455645788,0.0445966335105453,0.000512723361962,0.1429374342667879,0.0849334727463591,0.0645544968461769,0.004737012576513,0.1425391921779033,0.1357289952439952,0.1152627910036003,0.000991570076517
88,0.1026008670759802,0.0085192896813654,0.0354778836935423,0.0245708266237569,0.0004229318063841,0.0370115150434676,0.0017731164281234,0.0508721465181499,0.0006025773512683,0.000236167271093,0.1196061944184219,0.0733376819970734,0.1286964882958956,0.1047934811817469,0.1254805913940103,0.0524089068873484,0.0864579032007785,0.0424810799501268,0.0428808612732898,0.0006435005020781,0.148455020291289,0.0933635832453754,0.0670068347102541,0.0003926089543614,0.1635001744624177,0.1427573572523918,0.1474856309204598,0.0010047542569178
90,0.1014300142534464,0.0008362321971395,0.0343551568957559,0.0005605902394631,0.0004408537741519,0.0005644194657035,0.0029440241047191,0.0514112631810451,0.0550547269767237,0.0002373049347746,0.0924577432072133,0.0747284071513519,0.1409973960624828,0.0985306434661996,0.1555014500813924,0.0512473292172634,0.0817603778340196,0.0376991322251512,0.0411650890360343,0.0006048005705674,0.1660666494858466,0.0025458004037209,0.0647187413747596,0.0007957795750959,0.144242934917596,0.1295585516689617,0.1349033751113676,0.0007967913060122
93,0.1102040364160919,0.0143382992482203,0.0351167987400368,0.0005889615677963,0.0004861714565874,0.0358468646537235,0.0016697592763391,0.0515525528716731,0.0014222972377141,0.0002673304847663,0.0803637147021745,0.0784982144608699,0.1390539448018518,0.095915460965237,0.1655553675151284,0.0522336052977306,0.0829538650246178,0.0374333368471972,0.0394493167987788,0.000585848597536,0.1710498986361579,0.0839817955979441,0.0553143488434569,0.0004142992787099,0.1478320632058949,0.162788438897172,0.1210884631875272,0.0009303126799612
96,0.1172066711637602,0.0008309056640349,0.0321999231125566,0.0125299597259136,0.0025175188122409,0.0007128619344544,0.0016485157809118,0.053669051081751,0.0687614965229706,0.0002332320717199,0.0534779857016008,0.0883443575169383,0.137110493541221,0.0904763770095856,0.1653806149878899,0.0544562667646216,0.0823815490057599,0.0195539904480662,0.0447089245257288,0.0011731987424552,0.1361407015219359,0.0934886870450398,0.0512385976475634,0.0003553708788554,0.1317846137194335,0.159159219135332,0.0498743672020525,0.0009612464471826
