Time,250,250.1,250.2,250.3,125,125.1,125.2,125.3,62.5.3,62.5.1,62.5,62.5.2,31.25,31.25.1,31.25.2,15.625.1,15.625,15.625.3,15.625.2,7.8125.2,7.8125,7.8125.1,3.90625.1,3.90625.3,3.90625,3.90625.2,1.95312.2,1.95312.3,1.95312,1.95312.1,0.976563,0.976563.1,0.976563.2,0.488281.1,0.488281.2,0.488281.3,0.488281,0.24414063,0.24414063.1,0.24414063.2,0.24414063.3,0,0.1,0.2,0.3
44,0.0138506459694197,0.0008022614641063,0.0014387790723125,0.0016933887599489,0.0037215542183708,0.0007818989352432,0.0009795184337384,0.0028252674829614,0.0055889007701607,0.0032513809703541,0.0035979492664642,0.0020896180893642,0.0004190712926213,0.0036860369432954,0.0158797730864553,0.0010197247650671,0.0136061598146108,0.0018399728258862,0.0051093786314971,0.0013052919653648,0.0057806824963369,0.0010990153474331,0.0023546492652316,0.0042160942082596,0.0008261331266059,0.0009298203914495,0.0053384567757698,0.0021568274761567,0.0036700425691801,0.0023563817632135,0.0123620149462727,0.0007414230064775,0.0041280749510056,0.0074318694951838,0.0042089828262229,0.0005596360798384,0.0018033434450655,0.0009697184030634,0.0016191501783554,0.0013362663818031,0.0009997783747526,0.0030800450021371,0.0034865156158033,0.0022491504256893,0.0146436012866362
45,0.0083796438057919,0.000883995338178,0.0013459192395681,0.0075256411361294,0.0016346946350378,0.0092690918073375,0.0143014077850792,0.0034915604717724,0.0031405774007419,0.0080471077436539,0.0030226501994676,0.0006703896370754,0.0063929055405752,0.0028830352764167,0.000450385637229,0.0023159156107853,0.0077553575489451,0.0011665695408636,0.0134273592932875,0.0049372031893253,0.0027360104188486,0.002697662006434,0.0194265724952517,0.0037880449708342,0.0014910460726632,0.0006966223349286,0.0031072261810353,0.001889127528726,0.000753344395199,0.0019692814135257,0.0123240189897168,0.0021072651831039,0.000724225608661,0.0066955066008462,0.0087259062512707,0.0012426365396286,0.0109512589157174,0.0048214062246603,0.0021904079165644,0.0011511936907316,0.0019283674710847,0.0025699800244645,0.0040553649118052,0.004473973748407,0.0078477785684991
46,0.0029086416421642,0.0009657292122496,0.0011193854269987,0.00087280222287,0.0014417620716153,0.0007401553154524,0.0149924987178015,0.0020702225007306,0.0055364597614012,0.0057743507680851,0.0035182875762535,0.0023887523224955,0.0015866327115449,0.0042171412250533,0.0012461577740264,0.0058874162204728,0.0019045552832794,0.0016812944052702,0.0008301937243764,0.0257235311671261,0.0012351113310143,0.0010712873726255,0.0019337050421078,0.0033599957334087,0.0017955960660343,0.0008380683405411,0.0054011361758072,0.0016214275812953,0.000757860704946,0.0015821810638379,0.0122860230331609,0.0039400072667798,0.0007773001358643,0.0025012794194526,0.005001916470798,0.0005956545826623,0.0013435581113118,0.0028460972664385,0.0027616656547734,0.001201069657459,0.0009453040429405,0.0020599150467919,0.0048025180136787,0.0066987970711246,0.0010519558503621
47,0.0074112300634477,0.0007161076222065,0.001524634019012,0.0081794352626751,0.0025659300845657,0.0035610102788105,0.0156835896505238,0.00388272331691,0.0048717257713073,0.008742020982965,0.0031023378281547,0.0007728267853033,0.0071416800940922,0.0027109566410609,0.0003744086246092,0.001709963364056,0.0015835769793043,0.001032962105214,0.0135037662612802,0.0050324349958398,0.0045846993744879,0.0030580064368937,0.0214677483733025,0.0029319464959833,0.0014888609035512,0.0006984874262896,0.0021318354307613,0.0019088791561125,0.00106685877714,0.0025538203219588,0.0120542744816878,0.0020182920481571,0.0008303746630676,0.0079094548605119,0.0099651214496759,0.0005779365732958,0.0132468993927417,0.0067808206586318,0.002439204765483,0.0014963732125803,0.0022316736677276,0.0020268317525258,0.0024719495994489,0.0089236203938422,0.0011214663319339
48,0.0044920818544768,0.0007785685621246,0.0117940458381292,0.0045280186995363,0.005836529746267,0.0022418928911792,0.012818315439492,0.002780296189126,0.0034894124347132,0.0075486239176537,0.002916502324558,0.0012759418937327,0.006547637223303,0.0019827408463789,0.0042374522099188,0.0014655387578818,0.0018328510184232,0.0014320701536227,0.0089583138103748,0.0130752336704079,0.006338362429339,0.002006342332738,0.0118172948451418,0.0025038972585579,0.0017205721543254,0.0016411948284864,0.0051352281133284,0.0073851869038117,0.0023411218357368,0.0027838494694766,0.0093403046007392,0.0056662245194734,0.0018619211168899,0.0057436117916112,0.0069084976008759,0.0005602185639294,0.0081140229306323,0.0044064050202657,0.0034416480823665,0.0012424773639789,0.0009472055087794,0.0032892462519211,0.0020151923380209,0.0111484437165598,0.0011909768135056
49,0.0015729336455059,0.0008410295020427,0.0220634576572463,0.0008766021363974,0.0091071294079683,0.000922775503548,0.0099530412284602,0.001677869061342,0.0021070990981191,0.0063552268523423,0.0027306668209614,0.0017790570021622,0.0059535943525139,0.0012545250516969,0.0081004957952284,0.0012211141517076,0.0020821250575421,0.0018311782020313,0.0044128613594694,0.0211180323449761,0.00809202548419,0.0009546782285824,0.0021668413169811,0.0020758480211325,0.0019522834050995,0.0025839022306831,0.0081386207958955,0.012861494651511,0.0036153848943336,0.0030138786169944,0.0066263347197906,0.0093141569907897,0.0028934675707122,0.0035777687227105,0.0038518737520759,0.0047889780260005,0.0029811464685229,0.0020319893818997,0.00444409139925,0.0045957482481946,0.0003896832832243,0.0045516607513165,0.0015584350765929,0.0133732670392774,0.0012714578004289
50,0.0025886930918689,0.0103104572050795,0.0021584889082616,0.0009706412265342,0.003630094797012,0.0010519483608959,0.0070877670174283,0.0014848904331274,0.0040763750883302,0.0010277643132785,0.0008565799452032,0.0013934618681945,0.0083660500487131,0.0045581081908139,0.0015091094699872,0.0009766895455334,0.0060450179602122,0.0013673061573329,0.0013693530054266,0.0130025398294643,0.0049180584861578,0.0012382064360013,0.0015545215301159,0.0016674839238154,0.0011129584913341,0.0016838044292332,0.0065629295509011,0.0071175952207542,0.0016739758427024,0.0062774936273604,0.0096069290693238,0.0061930443657394,0.0020626623824645,0.0039515364686781,0.0038806993560345,0.0026872033651696,0.0008172786822403,0.0033028118060722,0.0010268494305819,0.002893679399442,0.0005613712415166,0.0014192608962699,0.0027530123978289,0.0092182369226267,0.0014492844375939
51,0.0010764195336139,0.0006798920241898,0.0010184842299133,0.001064680316671,0.0011535767140377,0.0011811212182438,0.0042224928063965,0.0017484696951271,0.0043269380181439,0.0057705165963384,0.0043561063635547,0.0022213800691832,0.0022578443505058,0.0050010530536647,0.0010951893790164,0.0060753784334988,0.0015208559221629,0.0017220295668281,0.0008606594250344,0.0204850531958624,0.0017440914881256,0.0011648692477631,0.0024783867379413,0.0012591198264982,0.0017558760891179,0.0007837066277832,0.0049872383059067,0.0013736957899974,0.0004420447423498,0.0035558641359149,0.0125875234188569,0.0030719317406891,0.0012318571942168,0.0043253042146457,0.0039095249599932,0.0005854287043387,0.0012305233338177,0.0035854898683077,0.0020208857532091,0.0011916105506894,0.0007330591998089,0.0022297439116168,0.0039475897190649,0.0050632068059761,0.0016271110747589
52,0.0019190282375967,0.0008099859014167,0.0016170682232219,0.0014213026651008,0.0015981536068956,0.0012012824233709,0.0013572185953647,0.0012099778632772,0.0009914224978555,0.0045445368439534,0.0052044293457901,0.0014019967677241,0.0027296570806197,0.0043290094487096,0.0011035975247253,0.0060459244411992,0.0028904317194766,0.0005042112218395,0.0007178494599026,0.0205509993503281,0.0016488070212433,0.0005495646725955,0.0023423274515522,0.0008507557291811,0.0019080220076883,0.0009303086155049,0.0006414446965259,0.0009685665006966,0.0013203929516006,0.0033770382356421,0.0008901934870826,0.0007851359069517,0.0008067571771339,0.0057591976042799,0.0034665738694819,0.0005666292768538,0.0011337472011208,0.0045190601635632,0.0010595242269608,0.0010332502807781,0.0010515535365271,0.0006504506929866,0.0012112061954541,0.0009081766893255,0.0008665612765438
53,0.0015034898602339,0.0007789152704949,0.0013939701142705,0.0008757775670718,0.0011729991232343,0.0011747654760099,0.0013586861629721,0.0021534342708534,0.0058353622311925,0.0044132660514127,0.0006026968611943,0.0013916466939628,0.0031235231409518,0.0040000732460267,0.0010553953945011,0.0067000119374586,0.0018687026040729,0.0008671244212365,0.000876707957813,0.0172281116789759,0.0014807855034994,0.0016889746342734,0.0026732108520741,0.0012729117548797,0.0017879140304024,0.0008290726115538,0.0040292640947041,0.0022714834623893,0.0021987411608515,0.0031982123353692,0.0010192210078657,0.002093289387551,0.0012554086538998,0.0059156827292893,0.0030236227789706,0.0005478298493689,0.0012735767834726,0.0076241461609763,0.0019143518027367,0.0010657628934417,0.0006877095640199,0.0010788937313463,0.0028460602964666,0.0006897644852524,0.0015838343562155
54,0.0010879514828711,0.0007478446395731,0.0011708720053191,0.0010789821739239,0.0007478446395731,0.0011482485286488,0.0013601537305794,0.0030968906784297,0.0106793019645294,0.004281995258872,0.004652703737796,0.0013812966202016,0.0035173892012839,0.0036711370433438,0.0010071932642769,0.007354099433718,0.0008469734886691,0.0013425833569313,0.0010355664557235,0.0139052240076237,0.0013127639857554,0.0028283845959512,0.0030040942525961,0.0016950677805784,0.0016678060531165,0.0007278366076026,0.004652703737796,0.0029033128445487,0.0030770893701023,0.0030193864350964,0.0011482485286488,0.0034014428681503,0.0009166936022978,0.0060721678542987,0.0037235660923964,0.0005481739438854,0.0014134063658245,0.0107292321583894,0.0027691793785126,0.0011597626406795,0.004281995258872,0.0015073367697061,0.004480914397479,0.0004713522811793,0.0015272855875122
56,0.0012484901254315,0.0006571847937428,0.0009501187334884,0.0012027861174973,0.0011203515854721,0.0011377928528595,0.0013616212981868,0.0026940654728142,0.0050039257510157,0.0053071193440391,0.0041856352011266,0.0018714400130161,0.003911255261616,0.0046611184416373,0.0011417714199035,0.0057403250412278,0.0027968919627262,0.0018180422926262,0.0018437677267974,0.0087629254685946,0.001596519809463,0.0008174825856113,0.0034814967851234,0.002117223806277,0.0018001826513405,0.0007833116624267,0.0034562908039384,0.0024710750678238,0.000409175448046,0.0036054073314004,0.0129754006646794,0.0045918925758537,0.0012565905453912,0.0037731103924348,0.0051471779555872,0.0005220459455924,0.0012651637849667,0.0038475906082082,0.0044073888168436,0.0010123930941959,0.0009313084575144,0.0011679506420213,0.0035574525090899,0.0005357571918745,0.0014039645724199
57,0.0013431442187662,0.000732003603959,0.0013958830199309,0.0011638101709145,0.0013619556585655,0.0009325897327998,0.0013630888657941,0.0022912402671986,0.0041462919210636,0.0045352515177345,0.0042090789185309,0.001639653031666,0.0037876975794374,0.0048325653562493,0.0009268161935083,0.0065628625547302,0.002568039497239,0.0020004736642325,0.0021453800368528,0.0050103355454906,0.0013763876412093,0.0008990218247463,0.0042123289976055,0.0025393798319757,0.0017559997192498,0.0008429466686047,0.0041503808380462,0.0021291413486854,0.0005808593654212,0.0027945006417925,0.0139216824017917,0.0042659925225511,0.0009775434480304,0.0049728641798525,0.0042032545867419,0.000506219798583,0.0013577281651008,0.0040075710226024,0.0037649413567002,0.0010338492036338,0.0007838498553615,0.0012452019024149,0.0030362314997741,0.0004884070049884,0.0013271675364519
