Time,250.0,250.0.1,250.0.2,250.0.3,125.0,125.0.1,62.5.2,62.5,62.5.1,62.5.3,31.25.1,31.25.2,31.25,15.625.1,15.625.2,15.625.3,15.625,7.8125.2,7.8125,7.8125.1,3.90625,3.90625.1,1.95312.1,1.95312.2,1.95312,0.976563,0.976563.1,0.488281,0.488281.1,0.244141,0.244141.1,0.0,0.0.1
79,69.65172,61.8314,37.19432,25.77727,57.87356,47.00824,53.92289,50.15682,44.86588,43.79878,46.74643,45.46552,32.74545,50.6593,46.38837,46.75,37.96136,41.63721,37.10706,29.59195,42.67647,43.24235,48.60118,46.63182,42.26628,50.64318,38.55402,49.12045,37.04205,41.59651,31.02674,30.47654,29.74118
81,69.43765,63.46471,37.09167,23.64598,56.8314,47.02317,53.63068,50.24205,45.30114,45.57955,46.55529,46.29205,34.18824,50.98621,48.99545,46.5119,38.00488,41.41477,37.57882,30.27647,44.45632,44.55647,47.51765,38.96437,43.70568,50.7125,38.46517,47.90116,37.89101,42.28554,31.56395,30.97529,31.03412
82,69.64762,62.70114,33.7131,23.89741,57.81059,47.44634,53.8875,49.66068,44.72964,45.36775,46.71845,46.73409,34.39184,50.86453,48.63067,46.1105,37.34401,40.59534,35.18259,32.19505,43.82816,44.57767,47.32985,38.82147,43.70859,50.98977,38.24523,44.75058,37.7024,41.96663,30.8797,31.24052,31.38471
83,69.63473,63.3358,30.33452,24.14884,57.13882,47.24901,54.14432,49.07931,44.15814,45.15595,46.88161,47.17614,34.59545,50.74286,48.26588,45.70909,36.68315,39.7759,32.78636,34.11364,43.2,44.59886,47.14205,38.67857,43.71149,51.26705,38.02529,41.6,37.51379,41.64773,30.19545,31.50575,31.73529
84,69.62184,63.97045,31.95909,16.74166,56.46705,47.05169,54.63409,48.94091,44.29195,46.80116,46.96747,47.27614,33.28295,52.09765,49.84659,44.02381,38.12759,39.20682,28.03409,32.41294,43.20353,44.78095,46.59302,35.26591,42.70341,51.55341,38.00706,32.27816,37.97159,41.12727,27.98621,30.83146,30.03488
86,69.67356,63.16591,29.00341,9.334483,55.92941,46.62414,53.73864,47.75,42.85882,46.28395,44.84483,47.56386,32.49886,50.53333,50.59425,42.1622,35.80455,39.63488,27.14943,30.18256,43.12759,42.74205,46.32273,42.86588,39.87045,51.95349,38.21724,21.90698,37.06667,41.60602,23.37024,30.40633,26.48272
88,70.15647,64.125,27.86932,12.84091,55.46353,46.96047,53.7163,47.43636,43.39524,47.72874,45.15529,47.93571,30.53372,51.69318,50.80682,40.90341,35.21609,37.95647,26.36207,29.07586,43.63409,42.78395,44.90341,37.46782,41.78409,51.67727,39.11494,21.92614,38.87386,41.02471,21.61724,30.14091,10.29884
89,70.27079,64.57326,27.64286,23.20795,56.79885,46.98642,54.24091,48.02471,45.84659,46.8875,46.13068,49.59647,33.27059,50.75506,50.56932,41.04886,37.55862,37.65227,28.07416,26.42874,44.25119,44.11205,48.4869,34.78588,42.2125,52.18295,39.25698,19.54706,39.67831,41.71379,26.52386,31.87857,22.5881
91,69.63218,62.88,24.74,22.01023,55.55176,46.5069,54.15393,47.775,46.36588,45.71512,45.57841,47.83295,33.74186,50.36098,50.91609,39.59318,36.07857,36.52706,29.62125,23.19294,44.84713,43.98506,46.49059,32.76118,37.02326,51.78072,38.33176,17.45057,38.56364,41.51839,23.54767,30.71279,19.7046
93,70.86477,65.45412,23.44419,20.95366,55.24253,46.67125,53.55116,45.82857,45.18765,45.67882,45.04886,47.63023,37.29205,49.53294,51.36932,38.25244,33.63103,36.64353,31.8382,19.9618,45.59091,44.35909,45.67558,36.79886,29.91798,53.38023,38.87011,23.85909,38.75,42.41264,22.66163,29.70357,22.6131
94,71.18977,63.27727,24.61765,20.31512,55.44545,46.23333,53.24353,45.30575,45.07159,46.36341,44.90227,49.2931,37.22118,49.82674,49.64767,36.83953,33.37045,36.47241,30.85169,18.85909,45.51882,44.92273,46.33218,41.48409,28.12558,50.45529,38.72471,25.10854,38.92841,41.83412,22.03977,30.76,25.13448
96,69.04659,62.38295,24.26818,18.99419,51.3931,46.72619,52.68353,45.04368,45.41124,45.93793,44.85581,49.08214,37.21294,50.01839,51.45747,38.01609,32.44886,35.97955,32.25412,17.37791,45.99091,43.78118,44.5092,41.76477,29.98621,52.67011,39.8119,29.90341,39.65057,43.76322,22.8093,30.24598,13.16977
