Time,0.496.1,0.496.2,0.496,0.496.3,0.248.1,0.248.3,0.248,0.248.2,0.124.2,0.124.1,0.124,0.062.2,0.062.1,0.062,0.031.2,0.031.1,0.031,0.0155.1,0.0155.2,0.0155,0.0077.1,0.0077
72,49.61528,46.96892,33.81111,39.38219,29.28493,25.53425,18.91389,7.685135,22.93836,13.32361,6.828767,56.7169,29.55833,24.87083,32.35616,14.27838,10.74189,40.35,31.14324,43.12329,39.87714,12.85972
74,49.90411,46.316,33.66528,40.04324,29.49324,25.72838,20.9,8.168493,21.90135,29.63194,6.448611,56.5863,29.70405,24.95867,34.08,13.73514,11.13611,40.11594,30.76575,41.35493,39.38696,12.20845
77,51.29459,47.25205,32.69167,40.75541,30.09324,26.34054,20.75556,8.424324,22.54225,38.45278,6.382192,56.85139,29.24861,24.71096,33.31806,14.93867,11.55616,41.02353,104.9781,38.85,38.76866,12.15135
80,52.01507,49.06806,33.09324,40.44722,30.60548,27.26216,22.74658,7.020833,23.025,42.08904,6.275,56.94648,29.44865,24.38971,33.95616,15.03333,10.86575,45.21143,23.65,35.81067,39.27353,11.36389
82,52.45429,49.84,33.07945,40.98649,30.21644,27.24583,26.1,7.591667,23.18356,42.31233,6.675342,57.12083,29.81622,24.23733,34.11781,14.9875,12.21096,45.80882,22.09315,37.14437,38.60145,10.77568
85,53.07671,47.59577,34.36667,41.93803,31.26,28.25068,30.58261,8.465278,98.33333,42.16575,6.909722,57.20411,110.7838,24.17945,33.78784,14.54444,12.05139,43.42647,94.05342,38.47808,38.24227,11.15278
88,54.03288,47.78784,34.69726,42.09595,30.77945,29.80548,,5.998649,23.72778,39.79722,7.090278,57.93014,28.95,23.64085,32.90822,15.01507,76.33067,44.66462,18.70959,38.36575,37.8831,10.65
90,55.55068,47.55417,34.53067,42.42192,30.63288,31.62297,,7.786111,101.5573,38.99589,7.136486,58.62877,29.37397,23.17183,31.40986,14.31781,12.08904,43.07206,19.00274,36.65,37.53243,10.79315
93,56.0137,48.70972,36.35,42.14189,30.49583,32.81096,,8.489041,105.0577,38.53288,7.430137,57.84861,29.10137,22.60972,30.6,13.70541,11.62714,43.34559,19.80274,34.92297,38.16849,10.32533
96,56.3973,,36.74648,42.42877,30.44658,32.69863,,9.9875,27.15634,38.66667,64.99863,57.49855,28.94474,22.13288,30.54861,10.98219,11.28154,,18.35833,30.80685,36.1125,10.9125
