Time,8,8.1,4,4.1,4.2,4.3,2,2.1,2.2,2.3,1,1.1,1.2,0.5.2,0.5,0.5.1,0.5.3,0.25,0.25.1,0.25.2,0.125.2,0.125,0.125.1,0.125.3,0.0623,0.0623.2,0.0623.1
71,0.0592272529975553,0.056470965010828,0.0907447975312954,0.1204503272771344,0.0959351193401657,0.0472374102786942,0.000447746756721,0.1394913326450103,0.0006086612016615,0.0498115476170796,0.0785000425032353,0.0519572750610525,0.0382715733006398,0.1350784449985305,0.2446738092902674,0.0006301057435715,,0.1426869304918328,0.0826296575864083,0.0008326663997864,0.1603558746160097,0.163019176051344,0.0450580515619947,,0.0627281297731741,0.0388812837693081,0.0137904716854213
74,0.0652142208885404,0.0563380102053853,0.096080006579844,0.1217420816445229,0.0933138130854058,0.0418968272535523,0.0006067305235874,0.1341047579503913,0.0009325044225033,0.0541881573643755,0.0765276868631009,0.0503778766924516,0.0403809598712237,0.1522073960769421,0.0995969438988916,0.0357237685807953,,0.1457446176434571,0.0818170366646487,0.0601254742678643,0.1879140465596171,0.1444092815376642,0.0461700854859516,,0.0615899713398217,0.0006309161423297,0.0005057418338028
77,0.0659985789301245,0.0562050553999426,0.093407947039081,0.1230338360119114,0.0919284743261256,0.0200839507898874,0.0005206229087101,0.1232037308009068,0.0007645029938912,0.0515260954036782,0.0835571169309401,0.0509609560814773,0.036379515592076,0.0727812957708538,0.2066849526212844,0.0386928529590355,,0.1444619206908186,0.0757050782554789,0.0597963477158279,0.1518156136876597,0.1468989584041122,0.0393336874088861,,0.0674741589671594,0.0446761661846889,0.0005664686599952
79,0.0621978304533418,0.0573276844566862,0.0385951767082862,0.117917880509355,0.0921863025608812,0.0440762048114593,0.0004097358685943,0.1257482836844153,0.000660767748603,0.0537913091966637,0.0840009132165064,0.0544358952908556,0.0413527034937896,0.1754717823709861,0.1964970946063495,0.0399824442862944,,0.1493366607052455,0.0924017085242689,0.0651789865323796,0.1690350942752284,0.1264622517390715,0.0451421382858508,,0.0649272390866615,0.0464910462157435,0.0004649312919491
82,0.0615541334872307,0.0579657880570483,0.084914717396477,0.1278718856568625,0.0893857674801448,0.0048872825275294,0.0005638025323362,0.1240486848553163,0.0005850698354472,0.0485015744958753,0.0782190235861857,0.0456428500021419,0.0300340829125662,0.1769625965094892,0.1731571183573663,0.041596537350086,,0.1629768423007754,0.0936183576217977,0.0657427998853422,0.1466636045081531,0.002141604783454,0.043313248155194,,0.0575862473102359,0.0414685272372467,0.0004480373745854
85,0.0652627024926515,0.0567953768848955,0.1168169480826824,0.1150565227002855,0.0945198411725168,0.0417927973131043,0.0005015495161789,0.128181535308753,0.0006265757454651,0.051419929160772,0.0839810428760878,0.0458041955728215,0.000483336424066,0.001644937960995,0.150936636953197,0.0401151614676728,,0.1597199423930644,0.0891367709963849,0.0301039679688248,0.1733727887955819,0.1261266670190461,0.040811365917207,,0.0613213515073251,0.0364460082587499,0.0003841179296139
87,0.0493735873222712,0.0533106846826491,0.0859351620316463,0.1070006257828952,0.055099163915229,0.038258760620713,0.0004912202470221,0.1341692749829665,0.0005157013035811,0.0413881561594865,0.0849254148737158,0.0409036716452651,0.0138330410216912,0.1367909071143641,0.1550609151592227,0.0005909233550795,,0.1524650657846228,0.0909791657243042,0.0591651571769143,0.1763153160923256,0.1391848812403279,0.0376200163982263,,0.0559037496537764,0.0185434564418482,0.0002528348588278
90,0.0546212610929337,0.0584181307466071,0.1075995709668659,0.0975251692270381,0.0686702074199339,0.0419439589495807,0.0004235130820265,0.1288068035726558,0.0005577242170208,0.0514340538671339,0.0733351231770105,0.0419289289599684,0.0364231346596846,0.1342071862577663,0.1674265569797611,0.0006125646343329,,0.1267673387930169,0.1031082006380326,0.0715734382362473,0.168676684349145,0.1375558443812544,0.0359671340759553,,0.0501778377328415,0.0006409046249465,0.0012038691530919
93,0.0480154119679107,0.055693560972687,0.0919530981649473,0.0927434310526242,0.0742974027362538,0.0440438831453087,0.0004211659661892,0.140317741226627,0.0006344886396466,0.0497754001402338,0.0384891302449712,0.0440412159540883,0.0333916637764617,0.1565593068436244,0.1202686189838133,0.0006191326879902,,0.1261876685343732,0.089588708323406,0.0655233181985106,0.152147880740029,0.1237674175393758,0.0163863865631283,,0.0486337781377438,0.0362621320694498,0.0003628531439743
95,,0.0587912141859083,0.1011463386171884,0.0988897473475457,0.0827509191393562,0.0427736253176726,0.0003655994903244,0.1507096679175673,0.0005958031810953,0.0520025868164206,0.0768475109596393,0.0209618226002911,0.0349369560374075,0.1489454887535927,0.0595034468494707,0.0376183802714387,,0.1194655993230411,0.0920489066357257,0.0616893803493544,0.1606903756379916,0.0431808520982109,0.0384606359971982,,0.0462060219147592,0.0406303537158437,
